         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   197   23.88       47.19         35.56     3.63   -0.09       1.68    0.020  0.040 
           REM1   199    0.39        3.24          1.22     0.52    1.13       1.48    0.000  0.000 
        RTN4RL2   199    0.14        1.63          0.63     0.26    0.84       1.59    0.000  0.000 
           ST20   199    0.38        3.40          1.95     0.61    0.22      -0.25    0.000  0.000 
       FGFR1OP2   199    5.03       24.81         13.43     3.49    0.66       0.69    0.005  0.070 
           TSKS   199    0.03        1.19          0.19     0.18    2.65       9.56    0.000  0.000 
           ATRX   199    4.42       27.28         15.30     4.19    0.04       0.36    0.035  0.020 
           PMM2   199    2.86       16.12         10.36     2.66   -0.06      -0.48    0.010  0.010 
           ASS1   195   14.51      168.13         64.77    35.27    0.91       0.13    0.000  0.060 
          NCBP1   199    3.87       10.26          6.79     1.31    0.27      -0.39    0.020  0.030 
         ZNF709   199    0.23        3.56          1.43     0.62    0.45       0.10    0.000  0.000 
         ZNF708   199    0.86        6.01          2.88     1.10    0.28      -0.62    0.000  0.000 
          RBM14   199    2.09       12.68          8.04     2.01   -0.20      -0.11    0.030  0.020 
          NCBP2   197   13.57       45.67         31.46     4.84   -0.49       1.33    0.020  0.020 
            EN1   199    0.08        3.93          0.81     0.61    2.29       7.70    0.000  0.000 
          CAMK1   199    2.46       39.54         14.36     8.85    1.13       0.46    0.000  0.050 
          RPL37   199  124.56      781.63        342.63   127.50    1.02       1.02    0.000  0.045 
            SPR   199    6.08       31.06         15.08     4.43    0.85       1.74    0.010  0.025 
          RNF13   199   12.75       46.82         27.18     5.09    0.76       3.02    0.010  0.020 
         ZNF707   199    0.36        7.04          2.53     1.06    0.67       1.99    0.000  0.000 
          CAMK4   199    0.02        1.70          0.28     0.22    3.59      18.96    0.000  0.000 
         ZNF704   199    0.67       10.79          5.78     1.99   -0.17      -0.26    0.025  0.020 
        GOLGA6B   199    0.00        0.16          0.06     0.03    0.72       0.50    0.000  0.000 
         RNF115   197    7.02       19.91         12.15     2.17    0.59       1.72    0.025  0.040 
         RNF112   199    0.08        1.12          0.37     0.20    1.74       3.73    0.000  0.000 
         ZC3H14   199    6.18       23.60         16.22     3.24   -0.14      -0.27    0.010  0.010 
            SPN   199    0.29        8.74          1.77     0.98    3.76      23.25    0.000  0.000 
        HMGCLL1   199    0.20        5.39          1.33     0.98    1.59       3.04    0.000  0.000 
         LRRTM1   199    0.00        0.13          0.02     0.02    2.35       7.96    0.000  0.000 
          GRIN1   199    0.00        0.66          0.21     0.15    0.68       0.24    0.000  0.000 
           DHX8   199    4.61       16.51         12.14     2.67   -0.57      -0.28    0.020  0.000 
           DHX9   199   17.00       78.54         49.09    11.04   -0.28      -0.27    0.020  0.010 
          TCOF1   199    2.51       12.60          6.73     2.11    0.08      -0.27    0.010  0.020 
         LRRTM3   199    0.00        0.06          0.01     0.01    2.32       6.13    0.000  0.000 
            XPC   199    3.43       25.44         15.94     4.46   -0.08      -0.15    0.020  0.010 
        SLC12A2   199    2.94       74.46         26.51    16.90    0.57      -0.24    0.000  0.030 
          GRINA   197   22.51      112.39         74.06    14.33   -0.01       1.27    0.020  0.040 
         LRRTM2   199    0.07        4.91          1.41     0.74    1.44       4.07    0.000  0.000 
          NUP93   199    4.99       14.11          9.77     2.05   -0.37      -0.35    0.050  0.010 
           HAP1   199    0.00        2.54          0.71     0.62    1.05       0.66    0.000  0.000 
          CAMKV   199    0.00        0.18          0.02     0.03    2.08       5.40    0.000  0.000 
          SPPL3   199    3.74       24.42         16.32     2.97   -0.60       1.99    0.010  0.010 
         GOLIM4   199    3.42       25.74         13.24     3.61    0.54       1.30    0.015  0.040 
         ZNF646   199    0.95        5.04          2.88     0.93   -0.02      -0.59    0.000  0.000 
