         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10  1535   15.93       88.23         41.98    10.67    0.76       1.00    0.004  0.038 
           REM1  1537    0.03       16.87          0.61     1.02    9.19     114.52    0.000  0.000 
        RTN4RL2  1537    0.08       16.96          1.78     1.65    3.42      18.63    0.000  0.000 
           ST20  1537    0.77       18.10          3.31     1.98    2.81      12.58    0.000  0.036 
       FGFR1OP2  1537    2.82       47.82         10.27     4.16    3.48      23.08    0.000  0.028 
           TSKS  1537    0.00        1.00          0.05     0.08    6.71      67.03    0.000  0.000 
           ATRX  1535    2.24       33.14         12.52     5.29    0.58       0.13    0.000  0.032 
           PMM2  1537    7.52       58.20         21.29     7.62    1.15       2.01    0.000  0.044 
           ASS1  1537    0.59      421.96         47.51    55.44    2.55       8.93    0.000  0.044 
          NCBP1  1535    3.13       26.54          9.98     3.56    1.33       3.14    0.000  0.042 
         ZNF709  1537    0.29        3.90          1.31     0.53    1.13       2.16    0.000  0.000 
         ZNF708  1537    0.67        8.41          2.58     1.15    1.24       2.50    0.000  0.000 
          RBM14  1537    1.96       20.49         10.37     2.42    0.59       0.68    0.010  0.038 
          NCBP2  1535   14.79      138.20         44.78    15.34    1.92       6.53    0.000  0.042 
            EN1  1535    0.01       60.91          3.49     8.91    3.40      11.54    0.000  0.062 
          CAMK1  1535    1.41       18.72          6.01     2.42    1.17       2.31    0.000  0.048 
          RPL37  1531   54.83     1199.35        299.47   152.21    1.97       5.87    0.000  0.047 
            SPR  1537    3.36      117.96         30.07    17.49    1.25       2.10    0.000  0.045 
          RNF13  1537    6.99       66.69         23.14     7.92    1.28       3.32    0.001  0.038 
         ZNF707  1535    0.78       25.53          5.16     3.22    2.12       6.47    0.000  0.050 
          CAMK4  1537    0.00        7.91          0.52     0.59    5.84      53.53    0.000  0.000 
         ZNF704  1537    0.04       18.72          3.99     3.16    1.71       3.71    0.000  0.053 
        GOLGA6B  1537    0.00        0.25          0.03     0.03    2.58      11.38    0.000  0.000 
         RNF115  1535    5.35       52.91         16.93     6.10    1.26       3.22    0.000  0.036 
         RNF112  1537    0.00        2.61          0.15     0.19    5.77      50.95    0.000  0.000 
         ZC3H14  1537    4.86       39.04         15.15     4.96    0.84       1.70    0.005  0.031 
            SPN  1537    0.38       13.90          2.06     1.60    3.11      13.92    0.000  0.000 
        HMGCLL1  1537    0.00       27.63          0.68     1.76    7.94      89.31    0.000  0.000 
         LRRTM1  1537    0.00        3.87          0.01     0.15   23.75     598.44    0.000  0.000 
          GRIN1  1537    0.00        4.43          0.33     0.43    3.60      19.85    0.000  0.000 
           DHX8  1537    2.13       34.89         14.05     5.14    0.82       1.07    0.003  0.041 
           DHX9  1537   11.68      130.61         64.67    17.49    0.34       0.53    0.021  0.033 
          TCOF1  1537    1.71       41.54          9.48     4.25    2.16       8.69    0.000  0.046 
         LRRTM3  1537    0.00        6.29          0.02     0.25   21.61     520.01    0.000  0.000 
            XPC  1537    2.33       30.80         12.19     4.36    0.40       0.24    0.009  0.028 
        SLC12A2  1533    0.59      256.06         22.70    26.59    3.28      16.21    0.000  0.046 
          GRINA  1537   14.33      706.52        140.43    87.65    2.35       7.85    0.000  0.051 
         LRRTM2  1537    0.00        2.16          0.22     0.23    3.63      19.19    0.000  0.000 
          NUP93  1535    4.33       46.29         14.43     7.09    1.46       2.38    0.000  0.050 
           HAP1  1537    0.00       10.77          0.19     0.54   13.40     230.35    0.000  0.000 
          CAMKV  1537    0.00        5.33          0.08     0.37    9.06      98.77    0.000  0.000 
          SPPL3  1537    2.43       34.33         17.15     4.77    0.66       1.16    0.008  0.041 
         GOLIM4  1537    0.67       87.42         12.84     7.03    3.02      24.51    0.000  0.027 
