         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   193   10.79       57.56         30.29     7.28    0.36       1.14    0.021  0.026 
           REM1   193    0.00       19.79          0.46     1.42   13.23     177.76    0.000  0.000 
        RTN4RL2   193    0.00       19.78          0.98     1.89    6.84      57.03    0.000  0.000 
           ST20   193    0.69        8.41          3.14     1.38    1.07       1.57    0.000  0.052 
       FGFR1OP2   193    0.96       19.19          6.22     2.85    0.82       1.90    0.000  0.026 
           TSKS   193    0.00        0.90          0.02     0.07    9.80     115.28    0.000  0.000 
           ATRX   193    0.41       11.62          3.88     2.05    0.79       1.43    0.000  0.026 
           PMM2   192   13.08       59.75         32.40     8.62    0.25       0.27    0.021  0.041 
           ASS1   191   23.28      713.38        215.28   141.42    1.54       2.08    0.000  0.083 
          NCBP1   193    2.81       20.31          9.64     3.24    0.30      -0.07    0.016  0.031 
         ZNF709   193    0.10        1.95          0.50     0.25    1.40       5.37    0.000  0.000 
         ZNF708   193    0.16        3.95          1.05     0.52    1.07       3.92    0.000  0.000 
          RBM14   193    3.38       23.01         13.41     3.56    0.13       0.02    0.021  0.031 
          NCBP2   192    7.51       80.32         31.81    13.14    0.96       1.40    0.000  0.047 
            EN1   193    0.00        0.35          0.02     0.05    4.07      18.63    0.000  0.000 
          CAMK1   192    2.27       17.12          6.91     2.92    1.08       1.12    0.000  0.062 
          RPL37   193  118.31     1172.46        438.38   197.10    1.23       1.64    0.000  0.057 
            SPR   192   14.57       78.52         39.79    12.15    0.57       0.14    0.005  0.047 
          RNF13   193    1.00       52.72         14.47     7.12    1.50       5.34    0.000  0.026 
         ZNF707   193    0.17       10.92          3.56     1.84    1.35       2.39    0.000  0.041 
          CAMK4   193    0.00        2.76          0.21     0.22    7.91      86.59    0.000  0.000 
         ZNF704   193    0.01        3.68          1.14     0.75    0.92       0.64    0.000  0.000 
        GOLGA6B   193    0.00        0.12          0.01     0.01    3.23      18.44    0.000  0.000 
         RNF115   192    1.78       14.48          7.65     2.36    0.32       0.44    0.016  0.047 
