         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   731   11.99       55.85         31.51     6.63    0.45       1.07    0.022  0.049 
           REM1   733    0.01       10.85          1.09     1.01    3.34      20.68    0.000  0.000 
        RTN4RL2   733    0.00       28.41          1.79     2.47    7.00      62.93    0.000  0.000 
           ST20   733    0.45       14.41          2.98     1.67    2.04       7.44    0.000  0.000 
       FGFR1OP2   733    3.46       30.23         11.21     3.47    1.19       4.06    0.005  0.040 
           TSKS   733    0.00        1.53          0.06     0.09   11.59     176.20    0.000  0.000 
           ATRX   731    1.54       29.34          9.02     3.85    1.05       3.09    0.000  0.027 
           PMM2   733    4.75       42.12         14.56     5.66    1.49       3.61    0.000  0.035 
           ASS1   733    0.29      314.22         59.36    45.21    2.27       7.00    0.000  0.053 
          NCBP1   733    1.47       17.62          4.86     1.71    1.88      10.72    0.000  0.026 
         ZNF709   733    0.14        2.62          1.08     0.39    0.61       0.86    0.000  0.000 
         ZNF708   733    0.13        5.62          1.65     0.68    1.06       3.03    0.000  0.000 
          RBM14   732    0.84       11.78          6.53     1.63   -0.03       0.53    0.026  0.020 
          NCBP2   733    8.89       59.62         23.49     6.95    1.35       3.89    0.003  0.048 
            EN1   733    0.00        6.69          0.13     0.43   11.98     167.33    0.000  0.000 
          CAMK1   733    2.10       99.16         17.13     7.31    4.30      36.83    0.003  0.033 
          RPL37   732   35.13     1208.90        311.02   142.34    1.93       6.55    0.000  0.042 
            SPR   733    5.90      112.29         24.26    12.31    2.26       9.58    0.000  0.042 
          RNF13   733    4.68      100.49         29.95    11.80    1.58       6.47    0.003  0.029 
         ZNF707   733    0.15        6.43          2.11     0.77    1.25       4.54    0.000  0.000 
          CAMK4   733    0.00        3.43          0.58     0.37    2.02       9.24    0.000  0.000 
         ZNF704   733    0.05       11.52          3.19     2.38    1.03       0.58    0.000  0.053 
        GOLGA6B   733    0.00        0.22          0.05     0.04    1.27       1.92    0.000  0.000 
         RNF115   733    2.01       26.55         10.79     3.72    0.43       0.86    0.008  0.030 
         RNF112   733    0.00       17.19          0.35     0.77   16.93     342.97    0.000  0.000 
         ZC3H14   733    2.87       23.50          9.65     3.24    0.58       0.80    0.005  0.030 
            SPN   733    0.28       16.41          3.09     2.03    2.14       7.00    0.000  0.046 
        HMGCLL1   733    0.00        2.50          0.23     0.32    3.08      13.07    0.000  0.000 
         LRRTM1   733    0.00       31.71          0.32     2.42    9.55     100.70    0.000  0.000 
          GRIN1   733    0.00        4.15          0.02     0.16   25.49     671.23    0.000  0.000 
           DHX8   733    1.96       19.03          7.74     2.61    0.32       0.57    0.019  0.025 
           DHX9   733    6.79       76.61         36.14    12.41   -0.03      -0.31    0.020  0.015 
          TCOF1   732    0.84       20.26          6.54     2.59    1.49       4.17    0.008  0.044 
         LRRTM3   733    0.00        0.53          0.01     0.04   10.08     112.12    0.000  0.000 
            XPC   732    2.61       24.85         11.09     3.72    0.69       1.35    0.008  0.038 
        SLC12A2   733    0.46       17.55          4.60     2.79    1.26       1.94    0.000  0.042 
          GRINA   731    6.35      271.82         92.40    34.37    1.07       2.72    0.008  0.045 
         LRRTM2   733    0.00        5.34          0.28     0.48    7.21      64.47    0.000  0.000 
          NUP93   733    2.59       26.24          8.01     2.89    2.44      10.64    0.000  0.031 
           HAP1   733    0.00        1.86          0.07     0.18    6.31      43.84    0.000  0.000 
          CAMKV   733    0.00        3.73          0.04     0.22   12.17     168.35    0.000  0.000 
          SPPL3   732    6.05       25.25         13.67     2.86    0.51       0.81    0.023  0.037 
         GOLIM4   733    1.42       54.53         19.35     9.39    0.60       0.80    0.000  0.035 
         ZNF646   733    0.22        5.48          2.76     0.88    0.04       0.24    0.000  0.000 
           OPA3   733    1.52       11.69          6.16     1.75    0.21       0.40    0.025  0.031 
           OPA1   731    2.30       21.16          8.89     3.21    0.75       0.91    0.001  0.041 
          TRAF5   731    0.36       13.85          3.92     2.20    1.48       2.86    0.000  0.045 
           RHEB   733   10.15      134.06         31.52    15.00    3.05      13.12    0.000  0.044 
         RAB40C   731    0.27       35.00          9.03     4.13    1.39       4.22    0.003  0.041 
         RAB40B   731    1.20       85.86          8.57     8.18    5.70      40.87    0.000  0.033 
         RAB40A   733    0.02        5.96          0.32     0.41    8.72     106.05    0.000  0.000 
          TM2D3   732    8.09       61.49         23.64     7.38    1.26       3.25    0.005  0.045 
         COL7A1   733    0.00       39.69          0.71     2.62    9.61     112.58    0.000  0.000 
           MDP1   733    0.96       11.46          4.18     1.33    1.19       4.14    0.005  0.025 
          GTSE1   733    0.32       36.16          2.59     2.82    7.12      66.70    0.000  0.000 
        FAM183A   733    0.00        7.93          0.88     0.91    2.18       7.96    0.000  0.000 
         ARFRP1   733    0.71       31.34          9.61     2.98    2.05      12.21    0.012  0.020 
          OVCH1   733    0.00        0.21          0.04     0.03    1.86       4.84    0.000  0.000 
        FAM183B   733    0.00        0.44          0.03     0.05    3.46      20.01    0.000  0.000 
           PSAP   733   97.45     2219.90        646.21   326.50    1.53       3.43    0.000  0.048 
         SPPL2A   733    4.13       39.24         15.39     5.72    0.74       1.21    0.000  0.045 
        SLC46A1   732    1.00       11.63          4.53     1.84    0.64       0.27    0.000  0.037 
         TGFBR2   733    3.16      182.49         52.43    31.41    0.89       0.81    0.000  0.046 
          ITGA8   733    0.00       18.13          3.35     2.93    1.71       4.19    0.000  0.050 
          ITGA9   731    0.04       18.20          3.95     3.19    1.39       2.02    0.000  0.060 
          STK40   733    1.41       33.62         11.39     4.09    0.96       2.79    0.008  0.034 
          MYO3B   733    0.07       14.10          0.59     1.34    6.94      54.59    0.000  0.000 
         ATP2A1   733    0.00        2.43          0.27     0.29    2.55       9.47    0.000  0.000 
         ATP2A2   732    6.61       83.82         39.43    13.40    0.25       0.07    0.016  0.034 
         ATP2A3   733    0.22       25.53          6.18     3.53    1.15       3.17    0.000  0.027 
          ITGA1   733    1.76      103.88         27.85    16.75    1.14       1.99    0.000  0.042 
          ITGA2   732    0.41       18.55          5.20     3.29    1.36       2.37    0.000  0.048 
          ITGA3   731    3.26      205.90         48.66    32.79    1.98       5.18    0.000  0.056 
          ITGA4   731    0.38       53.13         14.79     8.70    0.96       1.77    0.000  0.041 
          ITGA5   732    8.87      514.88        130.27    83.53    1.51       2.98    0.000  0.057 
          ITGA6   731    0.30      165.51         38.13    22.40    1.19       2.77    0.000  0.038 
          ITGA7   732    0.67       42.30          8.62     5.87    1.80       5.42    0.000  0.042 
           TRHR   733    0.00        0.07          0.01     0.01    2.55       8.13    0.000  0.000 
        DENND4A   731    0.85       13.70          4.73     2.24    0.80       0.73    0.000  0.041 
        DENND4B   733    0.79       18.29          5.71     2.27    1.12       3.32    0.005  0.034 
        DENND4C   731    1.86       27.80          9.68     4.10    0.63       0.91    0.000  0.033 
         SWAP70   733    2.04       46.42         18.03     8.44    0.64       0.22    0.000  0.035 
         PHLDA3   732    0.59       99.57         23.77    14.74    1.57       3.64    0.000  0.049 
         PHLDA2   733    0.07       23.80          2.63     2.24    2.72      14.42    0.000  0.000 
          TACO1   729    2.03       32.56         10.73     4.05    1.51       4.15    0.003  0.052 
           PMM1   733    2.42      121.05         33.29    16.26    1.26       3.51    0.000  0.037 
          GAP43   733    0.00        5.02          0.18     0.37    8.02      89.37    0.000  0.000 
           NENF   733    7.01      142.29         46.72    19.45    1.31       2.71    0.003  0.046 
           SQLE   733    0.62       36.61          5.13     3.46    4.33      29.42    0.000  0.031 
         FBXL13   733    0.14        6.42          0.73     0.38    5.68      72.65    0.000  0.000 
         FBXL12   733    0.99       12.48          5.67     1.45    0.48       1.67    0.016  0.033 
         FBXL15   732    0.02        9.07          3.41     1.43    0.77       0.74    0.014  0.049 
        CYP27B1   733    0.02        8.91          0.61     0.98    4.55      26.28    0.000  0.000 
         FBXL17   733    2.04       42.14          9.52     4.99    2.35       9.14    0.000  0.034 
         FBXL16   729    0.06       48.99         12.32     9.02    0.71       0.33    0.000  0.040 
        FAM169A   733    0.07       21.79          0.72     1.85    7.09      60.63    0.000  0.000 
        FAM169B   733    0.01        2.62          0.27     0.35    2.83      10.29    0.000  0.000 
       RALGAPA2   732    0.18       14.07          3.07     2.30    1.68       3.85    0.000  0.045 
           GHDC   733    1.47       53.98         21.31     7.84    0.43       0.43    0.011  0.033 
           SDK2   733    0.04        5.38          0.35     0.45    6.95      64.77    0.000  0.000 
            GRP   733    0.00       27.66          0.23     1.71   14.11     211.33    0.000  0.000 
