         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10    17   14.55       43.84         29.04     6.70    0.26       0.81    0.059  0.059 
           REM1    17    0.06        1.70          0.38     0.38    2.57       6.49    0.000  0.000 
        RTN4RL2    17    0.01        1.68          0.50     0.49    1.42       0.85    0.000  0.000 
           ST20    17    1.54        9.61          4.45     2.70    0.58      -0.94    0.000  0.000 
       FGFR1OP2    17    4.98       13.61          8.85     2.35    0.29      -0.17    0.000  0.059 
           TSKS    17    0.00        1.64          0.15     0.39    3.65      11.61    0.000  0.000 
           ATRX    17    3.36       16.90          8.13     4.47    0.76      -0.88    0.000  0.000 
           PMM2    15    7.34       18.79         13.97     3.19   -0.50      -0.47    0.059  0.118 
           ASS1    15    5.01       62.64         28.96    17.52    0.53      -0.90    0.000  0.118 
          NCBP1    17    2.25        7.84          4.97     1.48    0.31      -0.58    0.000  0.000 
         ZNF709    17    0.98        2.83          1.71     0.44    0.63       0.71    0.000  0.000 
         ZNF708    17    1.32        5.01          2.71     1.08    0.82      -0.27    0.000  0.000 
          RBM14    15    4.40       10.57          7.88     1.91   -0.31      -1.08    0.000  0.118 
          NCBP2    17   21.99       44.88         32.62     7.64    0.37      -1.29    0.000  0.000 
            EN1    17    0.00       10.01          0.69     2.42    3.66      11.63    0.000  0.000 
          CAMK1    17    5.12       31.08         19.55     7.48   -0.07      -0.91    0.000  0.000 
          RPL37    17   94.27      418.77        212.59    99.62    0.66      -0.72    0.000  0.059 
            SPR    17    5.87       59.18         29.54    14.95    0.51      -0.77    0.000  0.000 
          RNF13    17   15.39       51.27         30.34    12.34    0.41      -1.24    0.000  0.000 
         ZNF707    17    0.98        5.28          3.05     1.30    0.16      -0.99    0.000  0.000 
          CAMK4    17    0.02        0.46          0.18     0.11    0.78       0.24    0.000  0.000 
         ZNF704    17    0.13        3.79          1.41     1.20    0.79      -0.79    0.000  0.000 
        GOLGA6B    17    0.01        0.17          0.08     0.05    0.62      -0.55    0.000  0.000 
         RNF115    16    3.26       11.62          6.97     2.70    0.11      -1.12    0.000  0.059 
         RNF112    17    0.06        0.48          0.14     0.11    1.84       2.93    0.000  0.000 
         ZC3H14    17    5.43       20.35          9.97     4.20    1.13       0.44    0.000  0.059 
            SPN    17    1.20        5.17          2.63     1.25    0.79      -0.60    0.000  0.000 
        HMGCLL1    17    0.01        2.17          0.47     0.65    1.67       1.59    0.000  0.000 
         LRRTM1    17    0.00        0.16          0.02     0.04    3.42      10.42    0.000  0.000 
          GRIN1    17    0.00        0.28          0.05     0.07    2.75       7.42    0.000  0.000 
           DHX8    17    4.61       16.28          8.95     3.85    0.69      -0.93    0.000  0.000 
           DHX9    16   11.45       44.18         27.59    10.78    0.22      -1.36    0.000  0.059 
          TCOF1    17    3.74       12.88          8.45     2.96    0.02      -1.08    0.000  0.000 
         LRRTM3    17    0.00        0.05          0.01     0.01    2.86       7.43    0.000  0.000 
            XPC    17    5.69       35.63         17.12     9.17    0.83      -0.51    0.000  0.059 
        SLC12A2    17    0.54       15.46          3.16     3.65    2.53       5.83    0.000  0.059 
          GRINA    17   36.69      116.56         69.74    21.88    0.13      -0.49    0.000  0.059 
         LRRTM2    17    0.00        0.35          0.11     0.09    1.16       1.04    0.000  0.000 
          NUP93    17    4.96       18.68          9.86     3.50    1.27       0.99    0.000  0.059 
           HAP1    17    0.02        7.52          0.80     1.77    3.47      10.68    0.000  0.000 
          CAMKV    17    0.00        2.61          0.27     0.65    3.08       8.36    0.000  0.000 
          SPPL3    17    9.61       24.23         16.83     3.99    0.33      -0.44    0.000  0.000 
         GOLIM4    17    1.21       31.08         11.12     8.42    1.21       0.77    0.000  0.118 
         ZNF646    17    0.87        6.31          2.92     1.48    0.63      -0.25    0.000  0.000 
           OPA3    17    4.10       12.31          6.84     2.17    0.99       0.49    0.000  0.059 
           OPA1    17    4.64       14.83          8.85     3.03    0.49      -0.40    0.000  0.000 
          TRAF5    17    1.74       10.54          4.93     2.53    1.00       0.12    0.000  0.059 
           RHEB    16   18.08       46.43         30.84     8.59    0.14      -0.92    0.000  0.059 
         RAB40C    14    4.22        8.52          6.50     1.36   -0.23      -1.18    0.000  0.176 
         RAB40B    17    5.81       18.33         10.59     3.67    0.59      -0.58    0.000  0.059 
         RAB40A    17    0.29        2.04          0.74     0.49    1.73       1.97    0.000  0.000 
          TM2D3    17    6.52       32.09         14.57     7.26    1.31       1.00    0.000  0.118 
         COL7A1    17    0.06       27.61          2.02     6.61    3.72      11.93    0.000  0.000 
           MDP1    16    2.48        5.77          4.56     0.90   -0.64      -0.09    0.059  0.059 
          GTSE1    17    0.85        7.10          2.22     1.67    2.04       3.05    0.000  0.000 
        FAM183A    17    0.03        9.82          2.36     2.78    1.86       2.30    0.000  0.000 
         ARFRP1    17    2.52       16.96         11.59     3.69   -0.83       0.16    0.059  0.000 
          OVCH1    17    0.00        0.04          0.01     0.01    1.67       1.57    0.000  0.000 
        FAM183B    17    0.00        0.21          0.04     0.05    2.19       4.86    0.000  0.000 
           PSAP    17  119.17     1171.23        624.65   345.78    0.27      -1.32    0.000  0.000 
         SPPL2A    15    2.86       11.59          8.29     3.21   -0.54      -1.29    0.000  0.059 
        SLC46A1    17    1.63        9.95          5.20     2.47    0.45      -0.82    0.000  0.000 
         TGFBR2    16    4.14       41.81         21.12    12.04    0.47      -1.08    0.000  0.059 
          ITGA8    17    0.02        2.54          0.46     0.69    2.11       3.26    0.000  0.000 
          ITGA9    17    0.13        1.93          0.73     0.62    0.78      -0.96    0.000  0.000 
          STK40    14    2.32        8.66          5.46     1.90    0.15      -1.00    0.000  0.176 
          MYO3B    17    0.27        1.55          0.58     0.38    1.54       1.06    0.000  0.000 
         ATP2A1    17    0.17        2.11          0.78     0.64    0.95      -0.52    0.000  0.000 
         ATP2A2    17   20.69       92.42         42.32    20.11    1.15       0.36    0.000  0.059 
         ATP2A3    15    0.10        7.56          3.07     2.40    0.60      -0.96    0.000  0.118 
          ITGA1    16    1.66       10.04          4.41     2.74    0.89      -0.57    0.000  0.118 
          ITGA2    17    1.04        8.41          3.75     2.55    0.50      -1.29    0.000  0.000 
          ITGA3    16   23.15      151.19         74.12    37.09    0.73      -0.16    0.000  0.118 
          ITGA4    16    0.87        7.97          3.07     2.25    0.84      -0.40    0.000  0.118 
          ITGA5    16    5.21       32.81         16.11     8.70    0.51      -0.86    0.000  0.059 
          ITGA6    15    3.86       27.50         16.77     6.35   -0.06      -0.50    0.059  0.118 
          ITGA7    15    1.46       11.34          5.39     2.79    0.61      -0.29    0.000  0.176 
           TRHR    17    0.00        0.10          0.01     0.02    3.18       9.05    0.000  0.000 
        DENND4A    17    0.95        7.49          2.87     1.70    1.21       1.19    0.000  0.000 
        DENND4B    16    2.68        8.66          5.99     1.56   -0.48      -0.21    0.059  0.059 
        DENND4C    15    4.13       12.93          8.49     2.74    0.27      -1.01    0.000  0.118 
         SWAP70    17    3.39       28.83          9.85     6.62    1.56       1.94    0.000  0.059 
         PHLDA3    17    2.32       46.26         23.71    12.63    0.02      -0.92    0.000  0.000 
         PHLDA2    17    0.07        9.42          1.97     2.37    2.01       3.76    0.000  0.000 
          TACO1    15    7.03       22.67         15.91     4.79   -0.48      -0.90    0.000  0.118 
           PMM1    16    6.48       32.73         20.68     7.85   -0.44      -0.71    0.000  0.059 
          GAP43    17    0.00        0.26          0.07     0.08    1.23       0.44    0.000  0.000 
           NENF    17   13.84       94.90         38.79    24.32    1.13      -0.07    0.000  0.059 
           SQLE    15    0.65       10.18          3.02     2.93    1.73       1.71    0.000  0.235 
         FBXL13    17    0.48        3.80          1.56     0.70    1.82       4.43    0.000  0.000 
         FBXL12    17    5.06       10.58          7.21     1.61    0.75      -0.06    0.000  0.118 
         FBXL15    16    0.87        5.66          3.69     1.15   -0.53       0.49    0.059  0.059 
        CYP27B1    17    0.11        2.33          1.32     0.81   -0.25      -1.37    0.000  0.000 
         FBXL17    17    3.22       22.91          8.09     4.79    1.74       3.42    0.000  0.059 
         FBXL16    17    0.17       35.70         10.69    10.77    1.04      -0.02    0.000  0.059 
        FAM169A    17    0.08        4.00          1.28     1.15    1.24       0.63    0.000  0.000 
        FAM169B    17    0.01        0.80          0.23     0.26    1.44       0.63    0.000  0.000 
       RALGAPA2    17    0.22        9.58          2.89     2.70    1.12       0.28    0.000  0.000 
           GHDC    17    6.47       28.30         19.97     5.06   -0.79       1.27    0.059  0.000 
           SDK2    17    0.08        2.07          0.45     0.48    2.39       5.56    0.000  0.000 
            GRP    17    0.00        0.06          0.01     0.02    1.29      -0.01    0.000  0.000 
           TPRN    17    1.74       18.26          6.60     4.60    1.33       1.06    0.000  0.059 
          THSD4    15    0.58        9.82          4.40     2.96    0.63      -0.75    0.000  0.118 
          THSD1    17    0.24        1.48          0.76     0.38    0.25      -1.06    0.000  0.000 
          CHST9    17    0.03        4.85          1.94     1.41    0.45      -0.86    0.000  0.000 
          CHST8    17    0.03        0.18          0.09     0.04    0.62      -0.30    0.000  0.000 
         COL4A5    13    0.13        5.64          2.95     1.76   -0.37      -1.01    0.000  0.000 
         COL4A4    16    0.43        6.58          2.36     1.72    1.17       0.74    0.000  0.000 
         COL4A3    17    0.12        8.44          3.83     2.44    0.30      -1.01    0.000  0.000 
         COL4A2    16   19.74       79.48         40.38    18.86    0.73      -0.72    0.000  0.118 
         COL4A1    17    8.42      159.93         44.78    44.56    1.98       2.61    0.000  0.118 
        SLC35D2    16   12.92       21.96         16.50     2.77    0.47      -0.77    0.000  0.059 
          CHST1    17    0.01        1.73          0.49     0.46    1.59       1.79    0.000  0.000 
         ZNF879    17    0.54        2.84          1.30     0.60    1.23       1.19    0.000  0.000 
          CHST3    17    1.37       14.01          5.60     3.68    0.85       0.12    0.000  0.059 
          CHST2    17    0.14       19.26          2.66     4.79    2.78       6.86    0.000  0.000 
          CHST5    17    0.34        1.53          0.91     0.34    0.58      -0.53    0.000  0.000 
          CHST4    17    0.00        0.84          0.15     0.23    2.30       3.77    0.000  0.000 
          CHST7    17    0.19        3.63          1.05     1.02    1.39       0.77    0.000  0.000 
          CHST6    17    0.66        5.62          2.11     1.18    1.68       2.78    0.000  0.000 
          ITGAX    17    0.95       31.63         14.94    10.08    0.16      -1.34    0.000  0.000 
         BCL2A1    13    0.00        4.53          1.86     1.63    0.48      -1.26    0.000  0.000 
          GPSM2    16    1.83        7.68          4.05     1.87    0.67      -0.77    0.000  0.059 
           HLCS    17    1.72        5.99          3.51     1.39    0.51      -0.94    0.000  0.000 
            NOG    17    0.01        0.58          0.14     0.16    1.69       2.05    0.000  0.000 
           LIPG    17    0.27       12.97          2.88     3.27    1.99       3.51    0.000  0.000 
          ITGAV    17    2.36       44.70         18.24    13.33    0.77      -0.52    0.000  0.000 
          HIBCH    16    9.67       28.01         15.91     5.68    0.68      -0.58    0.000  0.118 
         ZNF703    17    0.19        6.64          0.96     1.58    3.02       8.19    0.000  0.000 
          ITGAL    16    0.98        7.64          3.53     2.09    0.60      -0.84    0.000  0.059 
          ITGAM    17    0.11       12.23          5.14     3.86    0.33      -1.10    0.000  0.000 
            HLF    17    0.14       17.24          5.82     5.14    0.77      -0.22    0.000  0.059 
            NOV    15    1.55       15.09          7.83     4.18    0.03      -1.04    0.000  0.118 
        FAM134C    17   15.96       43.60         25.81     7.40    0.87       0.05    0.000  0.059 
        FAM134B    16    0.20       59.99         32.20    19.18    0.14      -1.36    0.000  0.059 
        FAM134A    17   14.35       38.80         26.28     6.69    0.13      -0.55    0.000  0.000 
       SERPING1    17    3.61      487.02        173.69   141.51    0.69      -0.39    0.000  0.059 
         ZNF700    17    2.94       15.43          7.51     3.19    1.02       0.75    0.000  0.059 
          SMAD9    17    0.30        9.00          3.13     2.78    1.05      -0.22    0.000  0.059 
         TRERF1    17    0.27        4.73          1.32     1.03    2.23       5.00    0.000  0.000 
         LRPAP1    17   23.35      110.49         67.78    24.51   -0.07      -0.49    0.000  0.000 
          SMAD6    17    0.50        8.29          2.59     1.90    1.58       2.76    0.000  0.000 
          SMAD7    16    2.81       18.55         10.72     4.74    0.06      -0.87    0.000  0.059 
        GOLPH3L    15    4.14       12.19          8.94     2.92   -0.56      -1.19    0.000  0.118 
          SMAD1    16    2.01        8.94          5.33     2.39    0.13      -1.27    0.000  0.059 
          AFTPH    15    8.01       17.95         13.35     3.15   -0.14      -0.99    0.000  0.118 
          SMAD3    16    4.07       22.90         14.42     5.21   -0.20      -0.37    0.000  0.059 
            F12    17    0.06        6.27          2.05     1.73    0.87       0.14    0.000  0.000 
       AMMECR1L    17    2.70        8.30          5.37     1.54    0.44      -0.58    0.000  0.000 
