         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10    37   18.64       41.07         34.30     4.73   -1.55       2.68    0.081  0.000 
           REM1    37    0.60        3.98          1.65     0.80    0.94       0.57    0.000  0.000 
        RTN4RL2    37    0.28        2.11          0.90     0.46    0.96       0.45    0.000  0.000 
           ST20    37    1.14        3.81          2.25     0.74    0.33      -0.92    0.000  0.000 
       FGFR1OP2    37    6.88       17.41         11.01     2.47    0.69       0.24    0.000  0.054 
           TSKS    37    0.08        0.64          0.25     0.15    1.03       0.23    0.000  0.000 
           ATRX    37    3.91       13.01          8.27     2.05   -0.14      -0.15    0.027  0.027 
           PMM2    37    7.16       15.20         10.53     1.97    0.44      -0.28    0.000  0.054 
           ASS1    37   18.55       63.29         39.08    11.79    0.38      -0.88    0.000  0.027 
          NCBP1    37    3.19        6.13          4.41     0.58    0.55       0.86    0.027  0.027 
         ZNF709    37    0.66        1.93          1.11     0.28    0.87       0.65    0.000  0.000 
         ZNF708    37    0.79        2.71          1.74     0.47   -0.10      -0.61    0.000  0.000 
          RBM14    37    4.60       11.75          7.80     1.60    0.03      -0.06    0.027  0.027 
          NCBP2    37   18.10       25.06         21.87     1.66   -0.10      -0.53    0.027  0.000 
            EN1    37    0.00        0.04          0.00     0.01    2.98       9.70    0.000  0.000 
          CAMK1    37    5.53       19.29         11.10     3.03    0.75       0.67    0.000  0.054 
          RPL37    37  157.78      357.56        215.54    56.72    1.31       0.78    0.000  0.108 
            SPR    37    8.20       23.06         14.57     3.13    0.18       0.15    0.027  0.027 
          RNF13    35   24.75       53.48         34.14     6.49    1.26       1.35    0.000  0.108 
         ZNF707    37    1.11        5.03          2.98     0.89   -0.10       0.01    0.000  0.000 
          CAMK4    37    0.25        1.40          0.51     0.24    1.98       4.64    0.000  0.000 
         ZNF704    37    0.81        5.16          2.93     1.08    0.19      -0.40    0.000  0.000 
        GOLGA6B    37    0.00        0.10          0.03     0.02    1.38       2.05    0.000  0.000 
         RNF115    36    5.83       11.45          8.55     1.56    0.18      -0.96    0.000  0.027 
         RNF112    37    0.13        1.08          0.48     0.25    0.83       0.12    0.000  0.000 
         ZC3H14    37    8.23       18.01         13.25     2.26   -0.23      -0.54    0.027  0.027 
            SPN    35    3.06       19.97         12.39     4.10   -0.42      -0.22    0.027  0.054 
        HMGCLL1    37    0.42        2.21          1.19     0.42    0.56      -0.38    0.000  0.000 
         LRRTM1    37    0.00        0.45          0.06     0.11    2.12       3.87    0.000  0.000 
          GRIN1    37    0.01        0.22          0.05     0.04    2.30       7.54    0.000  0.000 
           DHX8    37    4.89       11.88          9.46     1.55   -1.11       0.98    0.054  0.000 
           DHX9    37   23.80       51.93         35.50     5.42    0.16       1.21    0.027  0.027 
          TCOF1    37    2.37        9.23          6.23     1.67   -0.81       0.28    0.081  0.000 
         LRRTM3    37    0.00        0.95          0.05     0.16    5.52      29.51    0.000  0.000 
            XPC    37    5.81       18.69         12.78     2.82   -0.54       0.38    0.054  0.027 
        SLC12A2    37    3.44       10.85          6.18     1.55    0.66       0.64    0.000  0.027 
          GRINA    34   42.95      100.48         73.42    12.90    0.14      -0.19    0.027  0.108 
         LRRTM2    37    0.07        1.49          0.37     0.29    2.35       6.24    0.000  0.000 
          NUP93    37    8.35       13.07         10.09     1.04    0.66       0.46    0.000  0.054 
           HAP1    37    0.01        0.20          0.08     0.05    0.79      -0.30    0.000  0.000 
          CAMKV    37    0.00        0.03          0.01     0.01    0.98       0.20    0.000  0.000 
          SPPL3    37    8.64       17.29         13.50     2.01   -0.28      -0.41    0.027  0.000 
         GOLIM4    37    6.75       30.11         16.63     5.14    0.72       0.37    0.000  0.054 
         ZNF646    37    0.86        4.29          2.95     0.80   -0.91       0.43    0.000  0.000 
           OPA3    37    2.11        6.43          5.30     1.01   -1.77       2.69    0.081  0.000 
           OPA1    37    4.50        8.17          6.02     0.79    0.19      -0.01    0.000  0.027 
          TRAF5    37    1.25        5.03          2.32     0.89    1.05       0.86    0.000  0.000 
           RHEB    36   23.12       49.31         31.12     6.57    1.59       1.84    0.000  0.135 
         RAB40C    37    5.23       17.50         10.87     2.77    0.03       0.00    0.027  0.054 
         RAB40B    37    3.19        9.51          5.88     1.35    0.32       0.02    0.000  0.027 
         RAB40A    37    0.18        2.60          1.24     0.61    0.32      -0.74    0.000  0.000 
          TM2D3    37   13.68       25.01         18.88     2.34    0.50       0.88    0.027  0.054 
         COL7A1    37    0.03        2.41          0.31     0.39    4.46      21.80    0.000  0.000 
           MDP1    37    2.28        6.13          3.58     0.80    1.20       1.98    0.000  0.054 
          GTSE1    37    0.60        2.46          1.20     0.45    1.18       1.12    0.000  0.000 
        FAM183A    35    0.00       57.50         16.51    17.34    1.04      -0.18    0.000  0.108 
         ARFRP1    37    6.40       15.25          9.52     1.80    0.64       1.13    0.000  0.027 
          OVCH1    37    0.01        2.14          0.82     0.53    0.56      -0.62    0.000  0.000 
        FAM183B    37    0.00        0.26          0.09     0.07    0.77      -0.33    0.000  0.000 
           PSAP    34  475.29      998.62        747.15   143.51   -0.26      -0.62    0.000  0.081 
         SPPL2A    37   12.24       27.04         17.34     3.09    0.88       1.43    0.000  0.054 
        SLC46A1    37    1.79        5.92          3.80     0.95   -0.07      -0.08    0.054  0.027 
         TGFBR2    37   54.06      136.02         95.54    21.49    0.00      -0.69    0.000  0.000 
          ITGA8    37    2.08       18.50          6.25     3.91    1.58       2.14    0.000  0.081 
          ITGA9    37    1.68       14.66          6.01     3.02    0.98       0.62    0.000  0.027 
          STK40    37    9.09       40.98         20.16     5.91    1.49       3.85    0.000  0.054 
          MYO3B    37    0.06        0.56          0.22     0.08    1.64       5.50    0.000  0.000 
         ATP2A1    37    0.01        0.22          0.08     0.05    0.82       0.54    0.000  0.000 
         ATP2A2    37   17.71       57.53         35.85     8.58    0.26       0.41    0.027  0.027 
         ATP2A3    37    3.96       19.29          9.96     3.62    0.64      -0.23    0.000  0.027 
          ITGA1    37    4.07       21.46         11.31     5.05    0.20      -0.92    0.000  0.027 
          ITGA2    34    0.77        6.05          3.47     1.42    0.04      -0.89    0.000  0.081 
          ITGA3    37   26.07      108.87         68.18    18.93    0.07      -0.26    0.027  0.027 
          ITGA4    37    2.77       21.92         10.38     4.24    0.62       0.29    0.000  0.054 
          ITGA5    35   28.24      140.53         88.37    29.58   -0.00      -0.77    0.027  0.054 
          ITGA6    37    6.94       35.81         17.92     7.69    0.80      -0.39    0.000  0.054 
          ITGA7    37    0.46        5.78          2.37     1.08    0.82       1.03    0.000  0.000 
           TRHR    37    0.00        0.02          0.00     0.00    2.43       4.79    0.000  0.000 
        DENND4A    34    2.70        5.82          4.15     0.79    0.28      -0.75    0.000  0.108 
        DENND4B    37    2.49       12.12          6.98     2.18    0.13       0.21    0.027  0.054 
        DENND4C    37    6.56       17.85         10.56     2.49    1.00       1.28    0.000  0.054 
         SWAP70    36   10.45       34.31         19.66     5.47    0.65       0.11    0.000  0.081 
         PHLDA3    37    9.14       62.67         29.09    10.52    1.07       1.72    0.000  0.054 
         PHLDA2    36    1.05       10.57          3.89     2.65    1.39       1.11    0.000  0.108 
          TACO1    37    3.93       11.36          7.14     1.57    0.49       0.44    0.027  0.054 
           PMM1    37   21.60       53.64         35.50     8.17    0.45      -0.30    0.000  0.054 
          GAP43    37    0.00        0.31          0.07     0.07    1.58       2.51    0.000  0.000 
           NENF    33   26.07       47.01         34.84     5.90    0.45      -0.74    0.000  0.162 
           SQLE    37    7.03       27.93         18.93     4.61   -0.28      -0.26    0.027  0.000 
         FBXL13    37    0.49        2.50          1.00     0.41    1.46       2.94    0.000  0.000 
         FBXL12    37    4.49        9.03          7.38     0.89   -0.58       1.33    0.027  0.000 
         FBXL15    37    2.41        9.01          5.07     1.49    0.23      -0.09    0.000  0.027 
        CYP27B1    37    0.22        1.98          0.59     0.34    2.04       6.09    0.000  0.000 
         FBXL17    36    5.82        8.45          6.95     0.73    0.34      -0.58    0.000  0.081 
         FBXL16    37    0.18        3.62          1.49     0.74    0.69       0.23    0.000  0.000 
        FAM169A    37    0.18        1.36          0.45     0.20    2.68      10.58    0.000  0.000 
        FAM169B    37    0.00        0.12          0.04     0.03    1.00       0.40    0.000  0.000 
       RALGAPA2    37    1.30       10.57          6.22     2.21   -0.09      -0.17    0.027  0.000 
           GHDC    37    8.89       16.49         12.29     1.52    0.48       1.24    0.027  0.054 
           SDK2    37    0.34        2.13          1.02     0.44    0.43      -0.43    0.000  0.000 
            GRP    35    0.09        7.19          1.82     1.73    1.66       2.29    0.000  0.000 
           TPRN    37    4.42       13.89          7.48     2.08    0.81       0.76    0.000  0.027 
          THSD4    37    2.19       12.56          6.25     2.35    0.60       0.09    0.000  0.027 
          THSD1    35    1.50        8.13          4.92     2.06    0.13      -1.11    0.000  0.054 
          CHST9    37    0.03        5.79          1.58     1.73    1.12       0.03    0.000  0.000 
          CHST8    37    0.10        1.08          0.33     0.25    1.60       1.73    0.000  0.000 
         COL4A5    37    2.21        8.36          5.12     1.75    0.05      -1.05    0.000  0.000 
         COL4A4    37    1.29        9.71          5.37     2.07   -0.08      -0.65    0.000  0.027 
         COL4A3    37    0.42       12.40          6.59     3.29    0.08      -0.96    0.000  0.000 
         COL4A2    35   21.34       96.92         58.35    21.47    0.02      -1.05    0.000  0.054 
         COL4A1    35   25.89      125.90         59.59    23.23    0.80       0.47    0.000  0.108 
        SLC35D2    37    9.85       21.40         16.95     2.47   -0.62       0.79    0.054  0.000 
          CHST1    37    0.17        6.75          1.34     1.14    3.12      12.16    0.000  0.000 
         ZNF879    37    0.48        1.34          0.91     0.21   -0.15      -0.38    0.000  0.000 
          CHST3    37    0.80        6.33          2.96     1.50    0.43      -0.81    0.000  0.000 
          CHST2    37    1.56        6.90          3.76     1.43    0.37      -0.93    0.000  0.027 
          CHST5    37    0.25        1.14          0.50     0.21    1.16       1.00    0.000  0.000 
          CHST4    37    0.01        0.88          0.17     0.18    2.19       5.29    0.000  0.000 
          CHST7    37    0.87        3.95          2.21     0.73   -0.03      -0.59    0.000  0.000 
          CHST6    37    0.64        7.29          2.34     1.57    1.29       1.18    0.000  0.000 
          ITGAX    36    5.85       51.10         23.97    12.25    0.58      -0.51    0.000  0.054 
