         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   126   12.99       78.14         34.56    10.53    1.14       3.19    0.008  0.040 
           REM1   126    0.06        1.59          0.56     0.34    0.96       0.38    0.000  0.000 
        RTN4RL2   125    0.08       31.78          6.33     6.70    1.98       4.11    0.000  0.063 
           ST20   126    0.43       11.95          3.24     2.15    1.93       4.08    0.000  0.063 
       FGFR1OP2   126    4.06       70.60         11.38     9.14    4.28      20.99    0.000  0.032 
           TSKS   126    0.00        0.76          0.10     0.13    2.81       9.16    0.000  0.000 
           ATRX   126    1.44       17.23          7.47     3.54    0.74       0.20    0.000  0.048 
           PMM2   126    8.99       49.62         22.03     8.07    0.88       0.73    0.000  0.056 
           ASS1   126    3.12      360.88         80.90    65.51    1.81       3.82    0.000  0.063 
          NCBP1   126    2.59       15.36          6.06     2.28    1.48       2.98    0.000  0.063 
         ZNF709   126    0.25        2.51          1.01     0.42    1.02       1.35    0.000  0.000 
         ZNF708   126    0.37        7.24          1.69     0.94    2.37       9.25    0.000  0.000 
          RBM14   126    3.86       18.00          8.91     2.52    0.68       1.15    0.000  0.048 
          NCBP2   125   14.33       70.73         31.02    10.79    1.34       2.16    0.000  0.071 
            EN1   126    0.00       16.07          0.15     1.43   11.02     120.00    0.000  0.000 
          CAMK1   126    3.15       31.94         11.41     5.53    1.35       2.36    0.000  0.048 
          RPL37   126  144.43     1486.09        435.87   236.81    1.96       4.77    0.000  0.048 
            SPR   125    4.27       69.37         26.43    12.82    1.13       1.20    0.000  0.056 
          RNF13   126    4.11       58.59         24.86     9.71    0.89       0.83    0.008  0.048 
         ZNF707   125    0.77        8.12          3.61     1.54    0.69       0.02    0.000  0.056 
          CAMK4   126    0.04        2.55          0.50     0.42    2.68       9.13    0.000  0.000 
         ZNF704   126    0.06        6.40          1.51     1.20    1.49       2.76    0.000  0.000 
        GOLGA6B   126    0.00        0.23          0.03     0.03    4.00      25.08    0.000  0.000 
         RNF115   126    3.98       40.94         14.02     6.20    1.60       3.55    0.000  0.048 
         RNF112   126    0.00        2.28          0.23     0.26    4.50      28.99    0.000  0.000 
         ZC3H14   125    2.83       20.59         10.28     3.45    0.93       1.12    0.008  0.079 
            SPN   126    0.57       10.80          3.26     1.88    1.27       2.14    0.000  0.040 
        HMGCLL1   126    0.01        2.15          0.40     0.38    1.78       3.78    0.000  0.000 
         LRRTM1   126    0.00       15.27          0.49     1.93    5.82      35.55    0.000  0.000 
          GRIN1   126    0.00        3.73          0.38     0.60    3.51      14.51    0.000  0.000 
           DHX8   125    4.30       29.96         12.54     5.05    1.03       0.95    0.000  0.048 
           DHX9   126   14.00       94.44         43.54    14.10    0.74       1.00    0.008  0.040 
          TCOF1   126    2.03       24.91          9.34     4.77    0.92       0.78    0.000  0.048 
         LRRTM3   126    0.00        2.56          0.04     0.25    8.68      79.34    0.000  0.000 
            XPC   126    2.00       24.16          8.44     3.92    1.22       2.11    0.000  0.056 
        SLC12A2   125    1.07       36.50          8.58     7.75    1.87       3.51    0.000  0.063 
          GRINA   125   20.44      194.80         84.46    29.69    0.95       1.56    0.008  0.040 
         LRRTM2   126    0.00        0.98          0.11     0.12    4.02      21.44    0.000  0.000 
          NUP93   126    4.81       25.15         13.37     4.53    0.59      -0.43    0.000  0.040 
           HAP1   126    0.00       19.94          0.34     1.83   10.04     104.12    0.000  0.000 
          CAMKV   126    0.00        0.49          0.03     0.07    5.02      27.07    0.000  0.000 
          SPPL3   125    5.32       29.22         14.57     4.58    0.66       0.59    0.008  0.056 
         GOLIM4   125    1.00       30.28         11.77     6.17    0.81       0.26    0.000  0.063 
         ZNF646   126    0.62        6.61          3.22     1.19    0.23       0.19    0.024  0.040 
