         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10    15   31.08       40.39         37.54     2.72   -1.04       0.17    0.062  0.062 
           REM1    16    0.69        2.62          1.58     0.61    0.31      -1.12    0.000  0.000 
        RTN4RL2    16    0.19        1.86          0.95     0.42    0.33       0.13    0.000  0.000 
           ST20    16    0.95        2.66          1.69     0.58    0.46      -1.25    0.000  0.000 
       FGFR1OP2    16    9.15       15.98         11.25     2.12    1.23       0.25    0.000  0.062 
           TSKS    16    0.08        0.45          0.23     0.10    0.44      -0.60    0.000  0.000 
           ATRX    16    4.33       12.93          8.26     2.49    0.53      -0.47    0.000  0.000 
           PMM2    16    7.95       16.22         11.04     2.52    0.95      -0.08    0.000  0.125 
           ASS1    16   25.67       63.79         38.39    12.15    0.80      -0.56    0.000  0.062 
          NCBP1    15    2.81        6.15          4.64     1.03   -0.06      -1.02    0.000  0.062 
         ZNF709    16    0.46        1.14          0.86     0.20   -0.55      -0.63    0.000  0.000 
         ZNF708    16    0.65        1.79          1.31     0.34   -0.72      -0.41    0.000  0.000 
          RBM14    16    5.30        9.77          7.69     1.24   -0.11      -0.38    0.000  0.000 
          NCBP2    16   17.73       25.45         22.32     2.10   -0.59      -0.19    0.062  0.000 
            EN1    16    0.00        0.03          0.00     0.01    2.11       4.10    0.000  0.000 
          CAMK1    15    8.01       13.39         10.00     1.78    0.64      -0.99    0.000  0.062 
          RPL37    16  121.42      280.03        208.69    45.46   -0.29      -0.79    0.000  0.000 
            SPR    16    9.03       19.86         14.13     2.95    0.12      -0.66    0.000  0.000 
          RNF13    15   24.80       40.38         33.93     4.65   -0.05      -0.86    0.000  0.062 
         ZNF707    16    1.80        3.39          2.53     0.46    0.01      -0.72    0.000  0.000 
          CAMK4    16    0.20        1.30          0.63     0.27    0.86       0.53    0.000  0.000 
         ZNF704    16    1.07        5.67          2.86     1.25    0.70      -0.28    0.000  0.000 
        GOLGA6B    16    0.00        0.03          0.02     0.01   -0.05       0.06    0.000  0.000 
         RNF115    16    6.90       15.26          9.50     2.39    1.11       0.45    0.000  0.062 
         RNF112    16    0.23        1.06          0.54     0.24    1.05       0.33    0.000  0.000 
         ZC3H14    15    8.00       14.39         11.70     2.02   -0.43      -1.25    0.000  0.062 
            SPN    16    6.79       24.37         14.36     5.73    0.30      -0.93    0.000  0.000 
        HMGCLL1    16    0.62        2.49          1.15     0.46    1.42       2.40    0.000  0.000 
         LRRTM1    16    0.00        0.33          0.06     0.10    2.10       2.91    0.000  0.000 
          GRIN1    16    0.01        0.10          0.04     0.02    0.99       0.59    0.000  0.000 
           DHX8    16    7.96       14.57         11.50     2.06   -0.10      -1.16    0.000  0.000 
           DHX9    16   27.19       51.38         40.07     6.42   -0.33      -0.53    0.062  0.000 
          TCOF1    16    2.52        7.61          5.87     1.33   -1.11       0.77    0.062  0.000 
         LRRTM3    16    0.00        0.03          0.01     0.01    0.74      -0.89    0.000  0.000 
            XPC    16    7.65       15.49         13.13     2.40   -1.05      -0.12    0.062  0.000 
        SLC12A2    15    4.75        8.91          6.63     1.40    0.07      -1.29    0.000  0.062 
          GRINA    16   57.07      123.03         97.58    16.21   -0.76       0.91    0.062  0.000 
         LRRTM2    16    0.07        1.10          0.39     0.25    1.55       2.38    0.000  0.000 
          NUP93    16    8.43       14.73         11.52     1.76    0.31      -0.51    0.000  0.000 
           HAP1    16    0.02        0.22          0.07     0.05    1.93       3.32    0.000  0.000 
          CAMKV    16    0.00        0.04          0.01     0.01    1.11       1.09    0.000  0.000 
          SPPL3    15    8.88       14.64         12.14     1.93   -0.26      -1.28    0.000  0.062 
         GOLIM4    16    8.12       27.50         17.77     5.66    0.45      -0.65    0.000  0.000 
         ZNF646    16    1.49        3.91          2.90     0.75   -0.29      -0.97    0.000  0.000 
           OPA3    16    3.98        6.82          5.37     0.85    0.02      -0.97    0.000  0.000 
           OPA1    15    5.14        7.88          6.58     0.91    0.07      -1.25    0.000  0.062 
          TRAF5    16    1.15        4.02          2.25     0.77    0.93       0.33    0.000  0.000 
           RHEB    15   21.91       36.14         29.91     3.51   -0.43       0.31    0.062  0.062 
         RAB40C    16    5.23       13.02          8.44     2.68    0.50      -1.27    0.000  0.000 
         RAB40B    15    3.57        6.34          4.89     0.99    0.11      -1.39    0.000  0.062 
         RAB40A    16    0.12        1.60          0.68     0.41    1.27       1.07    0.000  0.000 
          TM2D3    16   13.60       22.62         18.52     2.37    0.05      -0.19    0.062  0.000 
         COL7A1    16    0.09        1.65          0.41     0.45    1.97       2.54    0.000  0.000 
           MDP1    16    2.23        4.27          2.89     0.55    1.07       0.55    0.000  0.000 
          GTSE1    16    0.57        2.59          1.12     0.56    1.46       1.61    0.000  0.000 
        FAM183A    14    0.02       24.22          7.88     8.51    0.61      -1.02    0.000  0.125 
         ARFRP1    16    6.13       12.05          8.88     1.51    0.22      -0.32    0.000  0.062 
          OVCH1    16    0.06        3.47          0.96     0.97    1.40       0.92    0.000  0.000 
        FAM183B    16    0.00        0.17          0.05     0.04    1.54       2.07    0.000  0.000 
           PSAP    16  553.03     1367.46        966.61   243.04   -0.18      -0.98    0.000  0.000 
         SPPL2A    15   12.48       26.10         18.81     4.00    0.19      -0.83    0.000  0.062 
        SLC46A1    16    1.23        4.78          3.69     0.93   -1.18       1.10    0.062  0.000 
