         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   224   10.71       59.36         32.56     8.77    0.51       0.64    0.013  0.036 
           REM1   224    0.03       15.96          0.53     1.24    9.72     109.56    0.000  0.000 
        RTN4RL2   224    0.03       39.79          1.82     4.45    5.67      37.28    0.000  0.000 
           ST20   221    1.02       10.06          3.60     1.89    1.20       1.26    0.000  0.076 
       FGFR1OP2   224    3.90       35.07         11.74     4.59    1.98       5.45    0.000  0.040 
           TSKS   224    0.00        6.78          0.38     0.94    4.40      21.40    0.000  0.000 
           ATRX   224    1.87       14.61          5.69     2.49    1.21       1.69    0.000  0.049 
           PMM2   224    5.80       44.11         19.85     6.49    1.14       1.73    0.004  0.054 
           ASS1   222    2.17      387.01         64.21    67.72    2.36       6.37    0.000  0.071 
          NCBP1   224    2.80       23.99          7.94     3.23    1.52       3.79    0.000  0.036 
         ZNF709   224    0.14        3.67          0.75     0.41    2.67      13.17    0.000  0.000 
         ZNF708   224    0.20        7.49          1.30     0.79    3.10      19.47    0.000  0.000 
          RBM14   224    2.76       22.15         10.52     2.91    0.28       0.65    0.009  0.027 
          NCBP2   223   19.87      136.33         54.75    23.65    0.95       0.66    0.000  0.045 
            EN1   224    0.00       24.08          1.19     2.72    5.10      31.05    0.000  0.000 
          CAMK1   224    2.08       19.19          6.67     3.11    1.42       2.40    0.000  0.058 
          RPL37   224  107.49     1425.79        444.78   225.07    1.36       2.30    0.000  0.045 
            SPR   224    3.07       74.33         24.56    13.24    1.24       1.84    0.000  0.040 
          RNF13   223    6.41      102.15         33.49    15.91    1.38       2.35    0.000  0.049 
         ZNF707   224    0.66       13.30          3.90     1.88    1.57       4.13    0.000  0.045 
          CAMK4   224    0.04        3.06          0.62     0.48    2.11       6.31    0.000  0.000 
         ZNF704   224    0.03       17.68          1.78     1.96    3.76      22.31    0.000  0.000 
        GOLGA6B   224    0.00        0.13          0.02     0.02    2.05       6.15    0.000  0.000 
         RNF115   224    4.14       27.31         12.19     3.92    0.90       0.93    0.004  0.045 
         RNF112   224    0.01        4.45          0.27     0.39    6.88      63.73    0.000  0.000 
         ZC3H14   222    3.72       18.86         10.50     3.05    0.42      -0.12    0.009  0.045 
            SPN   224    0.48       10.79          2.00     1.36    2.24       8.13    0.000  0.000 
        HMGCLL1   224    0.00       15.16          0.27     1.04   13.24     186.06    0.000  0.000 
         LRRTM1   224    0.00        7.09          0.22     0.80    5.96      39.49    0.000  0.000 
          GRIN1   224    0.00        5.92          0.24     0.53    6.52      59.42    0.000  0.000 
           DHX8   224    3.21       34.18         13.55     5.14    0.80       1.32    0.004  0.040 
           DHX9   224   17.12      122.88         55.20    17.06    0.83       1.38    0.013  0.040 
          TCOF1   224    2.04       25.91         10.33     4.30    0.71       1.00    0.000  0.054 
         LRRTM3   224    0.00        2.05          0.03     0.18    9.59      97.61    0.000  0.000 
            XPC   224    1.46       27.91          6.52     3.01    3.11      18.39    0.000  0.022 
        SLC12A2   222    0.80       23.81          4.38     3.35    3.12      12.49    0.000  0.058 
          GRINA   223   25.63      195.17         89.89    33.72    0.88       0.59    0.000  0.062 
         LRRTM2   224    0.00        3.14          0.35     0.51    3.02      10.32    0.000  0.000 
          NUP93   222    6.48       62.76         20.98     9.53    1.77       4.33    0.000  0.062 
           HAP1   223    0.01       31.92          2.93     4.60    3.52      15.05    0.000  0.000 
          CAMKV   224    0.00        1.85          0.06     0.16    7.56      72.80    0.000  0.000 
          SPPL3   224    5.56       45.44         18.83     6.25    0.97       1.55    0.004  0.045 
         GOLIM4   222    2.09       86.20         24.92    15.35    1.17       1.38    0.000  0.058 
         ZNF646   224    0.58        9.83          2.83     1.37    1.36       3.22    0.000  0.000 
           OPA3   224    1.54       14.61          5.22     2.02    1.47       4.03    0.000  0.040 
           OPA1   224    2.86       45.13         16.43     7.55    1.18       1.90    0.000  0.040 
          TRAF5   224    0.87       12.74          3.33     1.58    2.06       7.71    0.000  0.031 
           RHEB   223   14.45      139.71         52.64    21.87    1.24       2.33    0.000  0.040 
         RAB40C   222    2.38       24.21          9.93     4.17    0.73       0.34    0.000  0.058 
         RAB40B   224    1.29       52.49         10.96     8.40    2.17       6.45    0.000  0.036 
         RAB40A   224    0.00        1.24          0.24     0.20    2.16       6.08    0.000  0.000 
          TM2D3   223    7.20       48.61         21.94     7.48    0.95       0.92    0.000  0.058 
         COL7A1   221    0.17       53.02         13.50    11.57    1.15       1.07    0.000  0.062 
           MDP1   223    1.28       10.02          3.82     1.62    1.35       2.08    0.000  0.054 
          GTSE1   224    1.01       35.62         12.03     6.10    1.20       2.10    0.000  0.054 
        FAM183A   224    0.00       46.38          2.89     4.85    5.32      36.97    0.000  0.000 
         ARFRP1   223    1.87       21.57          8.92     3.30    0.70       1.36    0.013  0.045 
          OVCH1   224    0.00        0.20          0.02     0.03    2.69       8.20    0.000  0.000 
        FAM183B   224    0.00        0.48          0.03     0.05    4.37      27.11    0.000  0.000 
           PSAP   222  130.99     1430.82        618.03   242.10    0.57       0.10    0.009  0.049 
         SPPL2A   224    7.11       55.09         21.48     8.50    1.09       1.72    0.000  0.040 
        SLC46A1   224    0.26        9.75          2.34     1.38    1.98       6.16    0.000  0.000 
         TGFBR2   222    1.30       46.12         14.17     8.94    1.14       0.90    0.000  0.062 
          ITGA8   224    0.02        8.20          0.72     0.88    4.13      25.62    0.000  0.000 
          ITGA9   224    0.09        9.34          1.70     1.63    2.35       6.29    0.000  0.000 
          STK40   224    2.97       45.39         14.48     7.71    1.73       3.63    0.000  0.054 
          MYO3B   224    0.07       10.72          0.69     1.22    4.79      28.68    0.000  0.000 
         ATP2A1   224    0.03        1.86          0.28     0.26    2.94      11.33    0.000  0.000 
         ATP2A2   223   12.67      147.87         70.72    26.93    0.60      -0.15    0.013  0.045 
         ATP2A3   222    0.48       48.77          5.96     6.81    3.88      17.59    0.000  0.040 
          ITGA1   224    0.68       20.62          4.82     3.16    2.27       6.90    0.000  0.049 
          ITGA2   221    0.48       44.84         12.63     9.00    1.31       2.11    0.000  0.062 
          ITGA3   224    1.24      300.86         37.23    43.11    2.95      10.75    0.000  0.058 
          ITGA4   222    0.94       24.44          7.24     4.77    1.17       1.24    0.000  0.062 
          ITGA5   221   11.32      292.01         85.27    56.84    1.41       1.83    0.000  0.080 
          ITGA6   223    2.11      269.15         59.05    47.08    1.75       3.78    0.000  0.054 
          ITGA7   224    0.23       13.03          1.30     1.28    4.63      32.67    0.000  0.000 
           TRHR   224    0.00        0.12          0.01     0.01    5.49      37.11    0.000  0.000 
        DENND4A   221    1.12        9.40          3.91     1.77    0.97       0.60    0.000  0.058 
        DENND4B   222    1.53       15.30          6.72     2.32    0.70       1.07    0.004  0.045 
        DENND4C   223    1.54       14.22          4.70     2.08    1.38       2.92    0.000  0.058 
         SWAP70   223    2.43       32.25         12.48     5.36    0.86       0.81    0.000  0.049 
