         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10    72   17.11       49.27         30.48     7.85    0.47      -0.17    0.000  0.083 
           REM1    72    0.03        1.79          0.44     0.34    1.79       3.53    0.000  0.000 
        RTN4RL2    72    0.17        3.08          0.88     0.67    1.30       1.08    0.000  0.000 
           ST20    71    1.04        7.15          2.99     1.39    0.77       0.24    0.000  0.000 
       FGFR1OP2    72    0.90       11.25          5.21     2.03    0.35       0.55    0.028  0.042 
           TSKS    72    0.00        0.18          0.02     0.04    2.46       6.27    0.000  0.000 
           ATRX    72    0.44        8.04          3.75     1.69    0.23      -0.35    0.000  0.028 
           PMM2    72   10.30       63.58         34.28     9.88    0.32       0.51    0.028  0.028 
           ASS1    70   15.44      680.03        210.07   123.25    1.56       3.23    0.000  0.069 
          NCBP1    72    2.78       21.63          9.54     3.48    0.65       1.00    0.000  0.028 
         ZNF709    72    0.04        1.44          0.47     0.24    1.11       3.22    0.000  0.000 
         ZNF708    72    0.13        1.97          1.06     0.38   -0.03       0.23    0.000  0.000 
          RBM14    72    6.52       25.66         15.52     4.06    0.21      -0.23    0.014  0.028 
          NCBP2    72    9.87       60.45         30.62    12.05    0.44      -0.34    0.000  0.042 
            EN1    72    0.00        1.33          0.05     0.19    5.18      28.12    0.000  0.000 
          CAMK1    72    1.58       14.25          6.84     2.74    0.75       0.20    0.000  0.056 
          RPL37    70  218.12      773.65        437.84   135.10    0.67      -0.14    0.000  0.069 
            SPR    72   15.86       69.44         38.03    10.36    0.44       0.22    0.014  0.042 
          RNF13    71    3.35       23.50         12.49     4.63    0.22      -0.28    0.000  0.056 
         ZNF707    72    1.17       10.43          4.22     2.10    1.04       0.57    0.000  0.056 
          CAMK4    72    0.02        0.75          0.18     0.12    1.88       5.56    0.000  0.000 
         ZNF704    72    0.12        4.40          1.31     0.79    1.46       2.80    0.000  0.000 
        GOLGA6B    72    0.00        0.07          0.01     0.01    2.66      10.49    0.000  0.000 
         RNF115    72    3.79       13.48          7.51     2.08    0.52      -0.05    0.000  0.042 
         RNF112    72    0.00        0.43          0.14     0.10    0.99       0.62    0.000  0.000 
         ZC3H14    72    3.00       19.68          8.85     3.02    0.68       1.31    0.000  0.028 
            SPN    72    0.32        3.16          0.92     0.50    2.18       5.94    0.000  0.000 
        HMGCLL1    72    0.00        0.23          0.04     0.04    2.32       7.35    0.000  0.000 
         LRRTM1    72    0.00        4.23          0.25     0.66    4.43      20.66    0.000  0.000 
          GRIN1    72    0.01        3.32          0.42     0.61    2.87       8.90    0.000  0.000 
           DHX8    72    4.53       18.77         10.71     2.89    0.47       0.36    0.014  0.028 
           DHX9    72   17.72       76.62         43.51    13.12    0.47      -0.18    0.000  0.056 
          TCOF1    72    4.06       28.42         13.29     5.76    0.75       0.15    0.000  0.056 
         LRRTM3    72    0.00        0.01          0.00     0.00    1.75       1.26    0.000  0.000 
            XPC    72    2.68       14.20          7.40     2.13   -0.02       0.51    0.028  0.014 
        SLC12A2    72    7.09      120.32         50.18    27.59    0.78      -0.17    0.000  0.056 
          GRINA    71   46.71      315.20        141.39    66.11    0.65      -0.18    0.000  0.042 
         LRRTM2    72    0.00        0.22          0.08     0.05    0.56      -0.61    0.000  0.000 
          NUP93    72    6.78       37.85         18.28     5.78    0.61       0.58    0.000  0.042 
           HAP1    72    0.00        1.14          0.15     0.20    3.25      11.33    0.000  0.000 
          CAMKV    72    0.00        7.65          0.41     1.00    5.62      36.66    0.000  0.000 
          SPPL3    72    6.35       24.75         14.12     3.96    0.15      -0.24    0.000  0.028 
         GOLIM4    71    4.50       53.44         24.81    10.32    0.44       0.23    0.000  0.056 
         ZNF646    72    0.65        6.78          3.01     1.23    0.57       0.02    0.000  0.028 
           OPA3    72    2.13        7.13          4.35     1.07    0.29      -0.48    0.014  0.014 
           OPA1    72    1.12       16.67          7.66     3.06    0.24       0.46    0.028  0.042 
          TRAF5    72    1.72       24.45          8.51     4.44    1.09       1.69    0.000  0.042 
           RHEB    72   13.58       73.20         33.99    11.38    0.88       1.07    0.000  0.042 
         RAB40C    72    5.86       38.34         18.16     7.79    0.89       0.04    0.000  0.083 
         RAB40B    72    4.51       31.67         13.14     5.38    0.80       0.60    0.000  0.028 
         RAB40A    72    0.00        1.45          0.26     0.22    2.48      11.35    0.000  0.000 
          TM2D3    72    7.95       27.56         15.51     4.49    0.74       0.26    0.000  0.056 
         COL7A1    72    0.31       21.21          2.99     3.41    3.25      12.01    0.000  0.000 
           MDP1    72    0.67        8.16          2.38     1.00    2.81      14.01    0.000  0.000 
          GTSE1    72    3.52       20.92         11.39     3.71    0.06      -0.44    0.014  0.014 
        FAM183A    72    0.00        2.29          0.22     0.35    3.44      15.54    0.000  0.000 
         ARFRP1    72    4.82       30.17         15.56     6.78    0.58      -0.74    0.000  0.042 
          OVCH1    72    0.00        0.05          0.01     0.01    2.04       3.78    0.000  0.000 
        FAM183B    72    0.00        0.14          0.02     0.03    2.69       7.89    0.000  0.000 
           PSAP    72  157.18      646.28        347.61   104.81    0.66       0.58    0.000  0.056 
         SPPL2A    70    3.43       19.75         10.21     3.59    0.40      -0.46    0.000  0.042 
        SLC46A1    72    0.62        6.62          2.40     1.19    1.28       1.79    0.000  0.000 
         TGFBR2    71    8.90       35.59         19.18     7.20    0.63      -0.63    0.000  0.056 
          ITGA8    72    0.04        1.26          0.31     0.20    1.68       5.76    0.000  0.000 
          ITGA9    69    0.27        9.51          2.96     2.30    1.14       0.51    0.000  0.000 
          STK40    71    4.72       41.70         22.21     7.66    0.63       0.03    0.014  0.056 
          MYO3B    72    0.02        1.63          0.15     0.26    4.61      21.80    0.000  0.000 
         ATP2A1    72    0.05        0.91          0.29     0.18    1.32       1.55    0.000  0.000 
         ATP2A2    72   16.84       76.13         47.37    13.37    0.32      -0.41    0.014  0.056 
         ATP2A3    72    0.83       60.40         21.07    14.17    0.71      -0.34    0.000  0.042 
          ITGA1    72    1.71       12.39          4.77     2.28    1.09       1.18    0.000  0.056 
          ITGA2    71    1.44       12.77          5.73     2.64    0.67       0.41    0.000  0.069 
          ITGA3    70    5.10       44.26         20.55     8.57    0.70       0.33    0.000  0.069 
          ITGA4    72    0.60        8.81          2.59     1.41    1.62       4.80    0.000  0.000 
          ITGA5    70    7.43       94.31         30.22    18.43    1.38       1.70    0.000  0.111 
          ITGA6    72   13.99      123.30         53.09    25.09    0.62       0.06    0.000  0.042 
          ITGA7    72    0.50       11.99          2.44     1.94    2.77       9.56    0.000  0.000 
           TRHR    72    0.00        0.05          0.00     0.01    4.61      21.51    0.000  0.000 
        DENND4A    72    0.20        4.34          1.49     0.68    1.06       3.35    0.000  0.000 
        DENND4B    72    2.24       13.82          7.08     2.57    0.65      -0.03    0.000  0.056 
        DENND4C    72    1.01       16.36          6.91     3.21    0.42       0.06    0.000  0.028 
         SWAP70    72    0.62        8.80          4.36     1.93    0.56      -0.23    0.000  0.069 
         PHLDA3    72    1.17       49.72         15.80    11.61    1.04       0.52    0.000  0.042 
         PHLDA2    72   11.00      162.15         53.40    33.31    1.51       2.25    0.000  0.069 
          TACO1    72    8.13       28.97         15.92     4.56    0.83       0.34    0.000  0.056 
           PMM1    72    4.94       49.90         21.91     9.57    0.59      -0.10    0.000  0.042 
          GAP43    72    0.00        1.15          0.13     0.19    3.19      12.71    0.000  0.000 
           NENF    69   25.15       98.54         54.14    18.87    0.67      -0.22    0.000  0.111 
