         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10     5   30.52       34.65         32.98     1.98   -0.38      -1.72    0.000  0.000 
           REM1     5    3.83        5.84          4.40     0.83    1.31      -0.02    0.000  0.000 
        RTN4RL2     5    0.14        0.58          0.38     0.21   -0.34      -1.78    0.000  0.000 
           ST20     5    1.25        3.04          2.04     0.73    0.24      -1.30    0.000  0.000 
       FGFR1OP2     5    6.45        9.45          7.92     1.20    0.12      -1.37    0.000  0.000 
           TSKS     5    0.02        0.49          0.22     0.21    0.39      -1.66    0.000  0.000 
           ATRX     5    6.12       10.45          8.56     2.16   -0.33      -1.79    0.000  0.000 
           PMM2     5    4.42       11.29          6.71     2.86    0.89      -0.73    0.000  0.000 
           ASS1     5   37.17      311.59        156.28   114.36    0.35      -1.40    0.000  0.000 
          NCBP1     5    3.52        4.80          4.22     0.49   -0.36      -0.97    0.000  0.000 
         ZNF709     5    0.86        2.80          1.64     0.82    0.38      -1.27    0.000  0.000 
         ZNF708     5    0.86        2.37          1.78     0.73   -0.45      -1.73    0.000  0.000 
          RBM14     5    8.11       16.04         12.07     3.38   -0.13      -1.57    0.000  0.000 
          NCBP2     5   16.95       23.63         21.52     2.69   -1.16      -0.24    0.000  0.000 
            EN1     5    0.00        0.05          0.01     0.02    1.33      -0.02    0.000  0.000 
          CAMK1     5    8.34       23.55         14.83     6.18    0.42      -1.27    0.000  0.000 
          RPL37     5  177.77      524.12        342.27   128.48    0.21      -0.89    0.000  0.000 
            SPR     5    8.81       25.30         17.26     7.42   -0.20      -1.69    0.000  0.000 
          RNF13     5   10.12       19.35         13.93     3.45    0.66      -0.60    0.000  0.000 
         ZNF707     5    2.80        3.45          3.08     0.25    0.46      -1.05    0.000  0.000 
          CAMK4     5    0.13        0.48          0.23     0.15    0.92      -0.78    0.000  0.000 
         ZNF704     5    4.28        6.82          5.55     1.05   -0.03      -1.48    0.000  0.000 
        GOLGA6B     5    0.02        0.11          0.06     0.04    0.53      -1.21    0.000  0.000 
         RNF115     5    7.55       17.24         11.35     4.44    0.44      -1.58    0.000  0.000 
         RNF112     5    0.09        1.60          0.64     0.70    0.53      -1.55    0.000  0.000 
         ZC3H14     5   11.49       17.15         13.83     2.34    0.38      -1.24    0.000  0.000 
            SPN     5    0.85        3.40          1.62     1.05    1.18      -0.17    0.000  0.000 
        HMGCLL1     5    0.03        0.68          0.33     0.24    0.37      -0.75    0.000  0.000 
         LRRTM1     5    0.24        7.28          3.68     3.28   -0.05      -1.71    0.000  0.000 
          GRIN1     5    0.00        0.10          0.04     0.04    1.07      -0.34    0.000  0.000 
           DHX8     5    7.09        9.57          8.64     1.00   -0.67      -0.79    0.000  0.000 
           DHX9     5   27.22       51.01         39.96     8.90   -0.29      -0.93    0.000  0.000 
          TCOF1     5    7.16        8.82          8.29     0.68   -0.98      -0.47    0.000  0.000 
         LRRTM3     5    0.00        0.03          0.01     0.01    0.75      -1.12    0.000  0.000 
            XPC     5   11.30       18.89         15.27     3.51   -0.23      -1.73    0.000  0.000 
        SLC12A2     5    2.04        4.38          3.57     0.92   -1.00      -0.39    0.000  0.000 
          GRINA     5   59.58      116.09         89.69    25.19   -0.24      -1.67    0.000  0.000 
         LRRTM2     5    0.09        0.93          0.31     0.36    1.33      -0.00    0.000  0.000 
          NUP93     5    7.71       12.43         10.42     2.04   -0.24      -1.45    0.000  0.000 
           HAP1     5    0.04        0.20          0.12     0.06    0.30      -1.47    0.000  0.000 
          CAMKV     5    0.00        0.01          0.01     0.01   -0.37      -1.81    0.000  0.000 
          SPPL3     5   13.65       17.52         16.16     1.47   -1.15      -0.10    0.000  0.000 
         GOLIM4     5    3.56       15.90         10.22     4.93   -0.16      -1.27    0.000  0.000 
         ZNF646     5    2.70        4.94          3.59     0.88    0.69      -0.90    0.000  0.000 
           OPA3     5    3.50        6.07          4.95     0.98   -0.45      -0.90    0.000  0.000 
           OPA1     5    5.07        6.77          6.28     0.70   -1.29      -0.03    0.000  0.000 
          TRAF5     5    4.03        7.83          5.64     1.71    0.40      -1.65    0.000  0.000 
           RHEB     5   18.22       27.69         22.13     3.72    0.58      -1.02    0.000  0.000 
