         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   416    4.02       82.70         40.51    10.35    0.63       1.97    0.014  0.031 
           REM1   416    0.00        5.65          0.67     0.72    2.98      12.50    0.000  0.000 
        RTN4RL2   416    0.02       41.25          2.78     5.42    4.51      24.08    0.000  0.000 
           ST20   416    0.59       11.73          3.60     1.82    1.49       3.09    0.000  0.055 
       FGFR1OP2   416    0.70       15.07          4.75     2.11    0.90       2.42    0.000  0.026 
           TSKS   416    0.00        3.33          0.12     0.30    7.51      70.12    0.000  0.000 
           ATRX   416    0.46       18.48          5.26     2.69    1.02       1.89    0.000  0.031 
           PMM2   415    1.52       41.88         19.80     6.03    0.41       0.43    0.012  0.031 
           ASS1   416    0.79      549.43         67.53    86.19    2.36       6.69    0.000  0.060 
          NCBP1   416    0.76       17.55          5.87     2.41    1.02       2.04    0.002  0.036 
         ZNF709   416    0.19        7.14          1.21     0.73    2.35      11.03    0.000  0.000 
         ZNF708   416    0.32        6.50          1.62     0.86    1.70       4.80    0.000  0.000 
          RBM14   416    0.78       25.94         12.82     3.95    0.40       0.23    0.007  0.036 
          NCBP2   413    3.61       81.34         28.64    11.79    1.64       4.10    0.002  0.060 
            EN1   416    0.00        5.12          0.09     0.47    8.43      76.69    0.000  0.000 
          CAMK1   416    0.69       39.71          9.37     4.69    2.41      11.09    0.000  0.031 
          RPL37   414   40.57     1646.34        524.16   261.77    1.34       1.97    0.000  0.053 
            SPR   416    0.62      105.22         17.52    11.84    3.32      19.18    0.000  0.036 
          RNF13   415    0.47       23.25          8.97     3.59    0.70       1.24    0.005  0.031 
         ZNF707   416    0.33       20.19          4.53     2.63    2.53       8.76    0.000  0.055 
          CAMK4   416    0.00       11.54          0.27     0.77   10.88     138.39    0.000  0.000 
         ZNF704   416    0.02       12.39          2.66     2.17    1.43       2.19    0.000  0.000 
        GOLGA6B   416    0.00        0.15          0.02     0.02    2.13       6.79    0.000  0.000 
