tumor	donor 1	donor 2	vars 1	vars 2	common vars	pct 1	pct2
AML	DO225409	DO225428	75	61	42	56	68
AML	DO225415	DO225430	106	102	58	54	56
AML	DO225436	DO225437	68	68	36	52	52
AML	DO229496	DO229512	11614	9505	7277	62	76
AML	DO230659	DO231140	932291	12966	10049	1	77
BRCA	DO224841	DO227776	3355	3575	2820	84	78
BRCA	DO224847	DO227473	35944	35917	33860	94	94
BRCA	DO224925	DO227730	5512	5804	4823	87	83
BRCA	DO224928	DO227483	1610	2639	1358	84	51
BRCA	DO224930	DO227809	2348	2692	2038	86	75
BRCA	DO224934	DO227618	8066	10205	7415	91	72
BRCA	DO224963	DO227503	2151	2989	1857	86	62
BRCA	DO224965	DO227820	5064	5399	4501	88	83
BRCA	DO224967	DO227854	7276	7688	6452	88	83
BRCA	DO224968	DO227838	8559	9116	8078	94	88
BRCA	DO225032	DO227470	8219	9082	6983	84	76
BRCA	DO225034	DO227795	3663	3516	3041	83	86
BRCA	DO225035	DO227817	2989	3506	2650	88	75
BRCA	DO225037	DO227629	4837	6723	4396	90	65
BRCA	DO225044	DO227651	15463	17930	14176	91	79
BRCA	DO225072	DO227701	18836	18898	17144	91	90
BRCA	DO225116	DO227517	11149	11352	10554	94	92
BRCA	DO225117	DO227878	10846	11043	9993	92	90
BRCA	DO225118	DO227860	2464	2741	2135	86	77
BRCA	DO225119	DO227846	2176	2355	1941	89	82
BRCA	DO225120	DO227903	5269	5952	4779	90	80
BRCA	DO225121	DO227871	7870	8459	7021	89	83
BRCA	DO225158	DO227521	3228	3596	2644	81	73
BRCA	DO225159	DO227790	4641	6619	4269	91	64
BRCA	DO225160	DO227862	23311	23453	21602	92	92
BRCA	DO225185	DO227815	5602	6344	5058	90	79
BRCA	DO225186	DO227932	6002	9814	5055	84	51
BRCA	DO225187	DO227857	2932	3180	2554	87	80
BRCA	DO225188	DO227510	6708	6737	6008	89	89
BRCA	DO225189	DO227806	2604	3306	2191	84	66
BRCA	DO225190	DO227561	2563	2735	2236	87	81
BRCA	DO225191	DO227909	2644	2938	2410	91	82
BRCA	DO225213	DO227529	6358	6477	5593	87	86
BRCA	DO225214	DO227773	3286	3818	2877	87	75
BRCA	DO225215	DO227836	93687	99041	89714	95	90
BRCA	DO225216	DO227480	1346	1514	1158	86	76
BRCA	DO225217	DO227566	6480	6517	5560	85	85
BRCA	DO225218	DO227939	3551	3904	3143	88	80
BRCA	DO225219	DO227881	4293	4470	3939	91	88
BRCA	DO225220	DO227719	4846	5023	4426	91	88
BRCA	DO225283	DO227940	19972	20056	18622	93	92
BRCA	DO225285	DO227787	2588	2620	2229	86	85
BRCA	DO225286	DO227593	5102	5374	4534	88	84
BRCA	DO225287	DO227892	3623	3907	3200	88	81
