% ===================================
%%  COAD	Colon adenocarcinoma
% number of entries:    125507
% number of patients:     270
% number of  genes:     17277
% number of  samples:       273
%% length_under   no_muts
       153         1    
       315         1    
       210         1    
       409         1    
       337         1    
       397         1    
       397         1    
       528         1    
       282         1    
        88         1    
       265         1    
       377         1    
       245         1    
       376         1    
       319         1    
        99         1    
        99         1    
       380         1    
       179         1    
       456         1    
       308         1    
       686         1    
       686         1    
       132         1    
       203         1    
       325         1    
       323         1    
       323         1    
       331         1    
       418         1    
       286         1    
       221         1    
       326         1    
       264         1    
       511         1    
       511         1    
       185         1    
       110         1    
       492         1    
       389         1    
       300         1    
       254         1    
       251         1    
       268         1    
       320         1    
       327         1    
       327         1    
       157         1    
       418         1    
       193         1    
       223         1    
       267         1    
       101         1    
        99         1    
       414         1    
       279         1    
       268         1    
       292         1    
       265         1    
       267         1    
       225         1    
       181         1    
       192         1    
       204         1    
       192         1    
       179         1    
       188         1    
       186         1    
       123         1    
       178         1    
       187         1    
       153         1    
       228         1    
       318         1    
       295         1    
       181         1    
       204         1    
       291         1    
       308         1    
       181         1    
       483         1    
       550         1    
       398         1    
       458         1    
       275         1    
       321         1    
       198         1    
       161         1    
        94         1    
       147         1    
       118         1    
       118         1    
       289         1    
       410         1    
       164         1    
       328         1    
       378         1    
       204         1    
       418         1    
       168         1    
       225         1    
       239         1    
       233         1    
       334         1    
       202         1    
       217         1    
       118         1    
       125         1    
       120         1    
       100         1    
       604         1    
       165         1    
       108         1    
       153         1    
       202         1    
       296         1    
       194         1    
       746         1    
       559         1    
       316         1    
       323         1    
       127         1    
       109         1    
       360         1    
       155         1    
       105         1    
       106         1    
       123         1    
       154         1    
       145         1    
       200         1    
       178         1    
       145         1    
       183         1    
       293         1    
       147         1    
       116         1    
       138         1    
       245         1    
       225         1    
        71         1    
       135         1    
       121         1    
       169         1    
       316         1    
       281         1    
       220         1    
       266         1    
       205         1    
       468         1    
        76         1    
       154         1    
       182         1    
       331         1    
       174         1    
       113         1    
       236         1    
        76         1    
       173         1    
       152         1    
       132         1    
       118         1    
