         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
          RNF10   136   30.03       79.29         49.10     9.89    0.28       0.19    0.000  0.029 
           REM1   136    0.08        2.35          0.61     0.36    1.98       6.49    0.000  0.000 
        RTN4RL2   136    0.12        2.37          0.80     0.42    0.95       1.25    0.000  0.000 
           ST20   136    0.82        4.80          1.94     0.70    1.83       4.54    0.000  0.000 
       FGFR1OP2   136    9.54       20.99         13.16     2.33    0.97       0.97    0.000  0.044 
           TSKS   136    0.00        0.23          0.03     0.03    4.04      22.79    0.000  0.000 
           ATRX   134    6.47       21.31         13.48     3.29    0.18       0.02    0.044  0.074 
           PMM2   136    4.10       15.85          7.11     2.19    1.59       3.61    0.000  0.029 
           ASS1   134   13.48     1303.97        360.80   337.49    0.76      -0.48    0.000  0.059 
          NCBP1   136    4.02       11.91          6.50     1.48    1.08       2.17    0.000  0.044 
         ZNF709   136    0.83        3.38          1.77     0.52    0.56      -0.00    0.000  0.000 
         ZNF708   136    0.81        3.84          1.57     0.44    1.93       8.26    0.000  0.000 
          RBM14   134    4.15       10.76          6.85     1.43    0.51       0.16    0.000  0.059 
          NCBP2   134   17.65       39.57         27.92     4.26   -0.04       0.63    0.044  0.044 
            EN1   136    0.00        0.46          0.02     0.06    6.89      49.61    0.000  0.000 
          CAMK1   136    5.39       18.77         11.03     2.29    0.46       0.96    0.015  0.029 
          RPL37   134   87.77      251.40        155.13    35.08    0.64       0.20    0.000  0.074 
            SPR   136   15.02       52.96         30.30     7.57    0.94       1.07    0.015  0.059 
          RNF13   136   18.40       40.61         29.66     4.29    0.39       0.32    0.015  0.044 
         ZNF707   136    0.93        3.31          2.07     0.56    0.15      -0.51    0.000  0.000 
          CAMK4   136    0.08        1.83          0.51     0.37    1.69       2.64    0.000  0.000 
         ZNF704   136    2.53        7.65          4.92     1.36    0.26      -0.84    0.000  0.015 
        GOLGA6B   136    0.00        0.06          0.03     0.02    0.32      -0.80    0.000  0.000 
         RNF115   136    7.22       14.59         11.88     1.75   -0.52      -0.44    0.029  0.000 
         RNF112   136    0.03        1.70          0.34     0.27    2.65       9.17    0.000  0.000 
         ZC3H14   136   11.12       22.24         15.48     2.44    0.28      -0.00    0.000  0.029 
            SPN   136    0.41        3.53          0.93     0.51    2.46       8.50    0.000  0.000 
        HMGCLL1   136    0.06        1.14          0.42     0.25    0.62      -0.40    0.000  0.000 
         LRRTM1   136    0.00        0.30          0.07     0.07    1.17       1.20    0.000  0.000 
          GRIN1   136    0.00        0.08          0.01     0.01    4.47      26.84    0.000  0.000 
           DHX8   136    5.11       16.78         10.46     2.55    0.31      -0.13    0.015  0.029 
           DHX9   136   26.68       81.77         53.00    11.74    0.17       0.23    0.044  0.044 
          TCOF1   136    1.84        7.60          4.33     1.19    0.40       0.06    0.015  0.044 
         LRRTM3   136    0.00        0.09          0.02     0.02    1.54       2.66    0.000  0.000 
            XPC   136    7.07       21.31         15.23     2.80   -0.47       0.53    0.029  0.015 
        SLC12A2   132    2.37        7.90          4.99     1.36    0.20      -0.61    0.000  0.044 
          GRINA   134   27.98       99.70         71.08    13.86   -0.28       0.39    0.029  0.029 
         LRRTM2   136    0.02        2.10          0.38     0.42    2.25       5.59    0.000  0.000 
          NUP93   136    3.95       29.82         10.67     5.42    1.32       1.54    0.000  0.059 
           HAP1   136    0.01        1.81          0.27     0.29    2.97      11.61    0.000  0.000 
          CAMKV   136    0.00        0.32          0.01     0.04    7.22      53.97    0.000  0.000 
          SPPL3   136    8.47       19.11         13.62     2.50    0.01      -0.47    0.029  0.029 
         GOLIM4   136    9.25       36.23         22.28     6.91   -0.12      -1.02    0.000  0.015 
         ZNF646   136    1.08        3.57          2.14     0.55    0.21      -0.40    0.000  0.000 
           OPA3   136    2.96       10.52          7.23     1.63   -0.25      -0.27    0.015  0.015 
           OPA1   136    8.70       20.37         13.13     2.25    0.61       1.24    0.000  0.029 
          TRAF5   136    0.93        4.91          2.38     0.68    1.05       2.14    0.000  0.000 
           RHEB   136   22.15       56.28         35.40     8.09    0.64      -0.13    0.000  0.044 
         RAB40C   136    1.70       10.02          5.07     1.61    0.58       0.71    0.015  0.044 
         RAB40B   136    4.12       18.77         12.84     3.00   -0.53       0.20    0.059  0.000 
         RAB40A   136    0.08        1.34          0.38     0.20    2.07       6.87    0.000  0.000 
          TM2D3   136   12.96       28.66         20.26     4.02    0.14      -1.01    0.000  0.015 
         COL7A1   136    0.05        6.12          0.48     0.85    4.92      27.96    0.000  0.000 
           MDP1   134    2.16        4.70          3.27     0.54    0.38       0.07    0.015  0.059 
          GTSE1   136    0.23        5.41          0.69     0.78    4.28      19.79    0.000  0.000 
        FAM183A   136    0.00        1.04          0.36     0.17    1.08       2.67    0.000  0.000 
         ARFRP1   136    4.65       12.83          7.87     1.78    0.21      -0.03    0.000  0.044 
          OVCH1   136    0.00        0.12          0.03     0.03    1.72       3.14    0.000  0.000 
        FAM183B   136    0.00        0.07          0.02     0.02    1.02       0.89    0.000  0.000 
           PSAP   136  351.77      965.47        646.55   117.98    0.04       0.11    0.029  0.015 
         SPPL2A   136   12.80       45.50         25.21     6.57    0.49       0.18    0.000  0.044 
        SLC46A1   136    2.54        6.38          4.45     0.80    0.04      -0.31    0.015  0.029 
         TGFBR2   136   23.00      130.98         65.21    22.74    0.68      -0.01    0.000  0.044 
          ITGA8   134    0.54       17.74          5.67     3.77    0.93       0.68    0.000  0.059 
          ITGA9   136    1.48       12.46          4.18     2.26    1.94       4.02    0.000  0.059 
          STK40   136    6.18       17.54         11.80     2.55   -0.02      -0.64    0.015  0.015 
          MYO3B   136    0.19       13.32          6.55     3.63    0.24      -1.19    0.000  0.000 
         ATP2A1   136    0.00        0.25          0.05     0.04    3.07      14.96    0.000  0.000 
         ATP2A2   134   19.38       51.46         35.72     7.03   -0.03       0.00    0.044  0.029 
         ATP2A3   134    1.25       17.32          5.15     3.56    1.42       1.94    0.000  0.059 
          ITGA1   136    4.77       44.91         16.47     8.00    1.40       2.11    0.000  0.059 
          ITGA2   134    2.72       20.25          9.52     3.35    0.73       1.38    0.015  0.074 
          ITGA3   132   11.15       71.71         31.34    12.73    1.06       0.98    0.000  0.088 
          ITGA4   132    1.71       14.18          4.37     2.60    1.88       3.67    0.000  0.088 
          ITGA5   132    9.40      109.83         29.20    18.85    2.36       6.73    0.000  0.074 
          ITGA6   134   13.56       47.45         30.95     7.06   -0.10       0.06    0.044  0.044 
          ITGA7   132    0.75       11.77          4.10     2.13    1.82       4.03    0.000  0.088 
           TRHR   136    0.00        0.03          0.00     0.01    2.11       3.47    0.000  0.000 
        DENND4A   132    2.92        8.16          5.43     1.12    0.17      -0.45    0.015  0.044 
        DENND4B   136    1.77        5.88          3.81     0.80   -0.03      -0.01    0.029  0.015 
        DENND4C   136    5.91       18.44         10.42     2.43    0.45       0.66    0.000  0.029 
         SWAP70   136    8.53       34.97         16.26     4.99    1.34       3.19    0.000  0.029 
         PHLDA3   134    2.13       20.63          7.58     4.41    1.22       1.02    0.000  0.074 
         PHLDA2   136    0.12       22.01          2.20     3.02    4.51      25.38    0.000  0.000 
          TACO1   136    5.48       26.11         16.36     4.22    0.22      -0.05    0.015  0.044 
           PMM1   136    6.71       59.42         32.79    10.80    0.21      -0.40    0.015  0.015 
          GAP43   136    0.00        0.95          0.08     0.17    4.15      17.51    0.000  0.000 
           NENF   136   21.45       61.09         38.75     8.55    0.72       0.35    0.015  0.059 
           SQLE   136    2.57       19.89          8.56     3.21    1.18       1.98    0.000  0.044 
         FBXL13   136    0.30        1.08          0.55     0.14    1.12       2.84    0.000  0.000 
         FBXL12   136    3.04        6.67          4.62     0.84    0.43      -0.22    0.000  0.044 
         FBXL15   136    0.61        9.24          3.96     1.49    0.65       1.81    0.029  0.044 
        CYP27B1   136    0.19       41.30          8.16    10.64    1.56       1.46    0.000  0.088 
         FBXL17   136    9.37       21.30         14.27     2.61    0.63       0.34    0.000  0.059 
         FBXL16   136    0.63       13.23          4.35     3.07    0.83      -0.21    0.000  0.044 
        FAM169A   136    0.78       23.56          5.01     4.14    2.89       8.32    0.000  0.059 
        FAM169B   136    0.01        0.53          0.11     0.10    2.35       5.89    0.000  0.000 
       RALGAPA2   136    2.11       11.25          5.69     1.81    0.56       0.66    0.000  0.044 
           GHDC   136    7.54       28.43         16.18     3.66    0.40       1.16    0.015  0.029 
           SDK2   136    0.16        1.06          0.42     0.18    0.96       1.10    0.000  0.000 
            GRP   136    0.00        3.90          0.15     0.52    6.10      39.29    0.000  0.000 
