number of samples: 8554
    gene1   #muts1      gene2  #muts2    co-appearance      expected no      expected no       pval of <=       pval of >=
                                                          of co-app (expr)  of co-app (sim)                                  
     TP53   3692       AMTN    35               18            12.25            12.25           0.9851           0.0340
     TP53   3692    FAM186B    85               39            29.65            29.65           0.9867           0.0227
     TP53   3692       DPM2     9                3             3.15             3.15           0.6111           0.6626
     TP53   3692       BAG4    45               18            15.73            15.70           0.8127           0.2814
     TP53   3692      SIPA1    65               26            22.70            22.67           0.8410           0.2308
     TP53   3692      KLRF2     5                3             1.75             1.74           0.9489           0.2357
     TP53   3692   HIST1H1B    90               42            31.39            31.38           0.9932           0.0132
     TP53   3692     POM121   189               85            65.53            65.52           0.9983           0.0023
     TP53   3692      SNTG1   181               96            62.79            62.77           1.0000           0.0000
     TP53   3692       TLR5   118               42            41.08            41.04           0.6170           0.4585
     TP53   3692      GFPT1    68               27            23.74            23.74           0.8306           0.2388
     TP53   3692     ZNF266    65               30            22.70            22.64           0.9777           0.0398
     TP53   3692     ATP1A4   186               76            64.50            64.52           0.9676           0.0452
     TP53   3692       NWD2     0                0             0.00             0.00           0.0000           0.0000
     TP53   3692     TATDN1    35               12            12.25            12.26           0.5398           0.6012
     TP53   3692       PSG3   157               76            54.54            54.59           1.0000           0.0001
     TP53   3692   AURKAIP1    18                4             6.30             6.36           0.1819           0.9278
     TP53   3692      PRIM1    34               16            11.90            11.91           0.9497           0.0952
     TP53   3692      GPSM2   100               40            34.85            34.92           0.8771           0.1694
     TP53   3692    SLC35F4    75               41            26.18            26.15           0.9999           0.0002
     TP53   3692      PARM1    45               23            15.73            15.72           0.9924           0.0179
     TP53   3692    TMEM238     0                0             0.00             0.00           0.0000           0.0000
     TP53   3692    SULT6B1    61               23            21.31            21.27           0.7294           0.3635
     TP53   3692        LIF    30               15            10.50            10.52           0.9697           0.0663
     TP53   3692      BRMS1    47               18            16.43            16.45           0.7368           0.3695
     TP53   3692   ALS2CR11   141               52            49.03            49.03           0.7361           0.3263
     TP53   3692   CXorf40A    19                7             6.65             6.67           0.6630           0.5210
     TP53   3692     NUDT18    23               12             8.05             8.02           0.9717           0.0664
     TP53   3692      OR8B8    68               31            23.74            23.72           0.9738           0.0444
     TP53   3692      PLOD2   112               56            39.01            38.98           0.9993           0.0009
     TP53   3692       TPI1    39               21            13.64            13.67           0.9950           0.0118
     TP53   3692       RPRM    16                8             5.60             5.59           0.9326           0.1579
     TP53   3692    GAGE12D     1                1             0.35             0.34           1.0000           0.3442
     TP53   3692     SLC6A4    88               32            30.69            30.76           0.6520           0.4341
     TP53   3692     CORO1A    45               19            15.73            15.75           0.8784           0.1953
     TP53   3692      OPRM1   121               54            42.12            42.14           0.9907           0.0152
     TP53   3692       LGR4   102               43            35.55            35.58           0.9483           0.0778
     TP53   3692       UPRT    54               22            18.87            18.87           0.8498           0.2233
     TP53   3692     ZNF704    73               39            25.48            25.47           0.9998           0.0007
     TP53   3692        SRC    44               23            15.39            15.40           0.9941           0.0127
     TP53   3692       COQ2    21               10             7.35             7.37           0.9195           0.1623
     TP53   3692      LRRD1    43               12            15.04            15.04           0.2094           0.8775
     TP53   3692    NEUROD1    93               41            32.43            32.37           0.9759           0.0410
     TP53   3692     OSBPL7    88               37            30.69            30.68           0.9361           0.0994
     TP53   3692       SETX   317              139           109.10           109.04           0.9999           0.0001
     TP53   3692      GDF15    31               12            10.85            10.84           0.7372           0.3956
     TP53   3692     BTBD11   172               73            59.70            59.69           0.9866           0.0187
     TP53   3692       PLK5     9                1             3.15             3.16           0.1219           0.9793
     TP53   3692     DUSP16    82               29            28.61            28.62           0.5884           0.5041
     TP53   3692      FAM3A    23               10             8.05             8.06           0.8546           0.2572
